,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,43,51.551 Gbps,51.551 Gbps,4.238820e+11,5,8.851682e-12,0.0,  ,0.0,,0.0,
1,2,56,51.551 Gbps,51.551 Gbps,1.080394e+12,9,7.272685e-12,0.0,BER (8.85e-12 / nan) rng=[8.9e-12 - 8.9e-12])  ,0.0,,0.0,
2,3,68,51.551 Gbps,51.551 Gbps,1.747660e+12,11,5.808817e-12,0.0,BER (8.06e-12 / 1.1e-12) rng=[7.3e-12 - 8.9e-12])  ,0.0,,0.0,
3,4,82,51.551 Gbps,51.551 Gbps,2.421150e+12,18,7.777153e-12,0.0,BER (7.31e-12 / 1.5e-12) rng=[5.8e-12 - 8.9e-12])  ,0.0,,0.0,
4,5,94,51.551 Gbps,51.551 Gbps,3.089221e+12,33,1.011258e-11,20.792754128647694,BER (7.43e-12 / 1.3e-12) rng=[5.8e-12 - 8.9e-12])  SNR (21.3 /  0.4),0.0,,0.0,
5,6,108,51.551 Gbps,51.551 Gbps,3.731791e+12,39,1.000352e-11,20.792754128647694,BER (7.96e-12 / 1.6e-12) rng=[5.8e-12 - 1.0e-11])  SNR (21.3 /  0.4),13.666666666666666,PEAK (29=891 / 42=603 / 57=607 / 70=891)  VALEY (34=0 / 47=0 / 63=0),2.595149105773336e-08,PER: (P1:(28.5 / 1.2 rng=[0.0 - 0.0]) P2:(42.7 / 1.3 rng=[0.0 - 0.0]) P3:(57.3 / 1.2 rng=[0.0 - 0.0]) P4:(71.5 / 1.2 rng=[0.0 - 0.0]) ERR:E12=3.2e-09 E21=7.2e-09 E23=2.9e-09 E32=2.1e-09 E34=6.4e-09 E43=4.2e-09)
6,7,120,51.551 Gbps,51.551 Gbps,4.415410e+12,47,1.028252e-11,20.792754128647694,BER (8.30e-12 / 1.7e-12) rng=[5.8e-12 - 1.0e-11])  SNR (21.3 /  0.4),13.666666666666666,PEAK (29=891 / 42=603 / 57=607 / 70=891)  VALEY (34=0 / 47=0 / 63=0),2.595149105773336e-08,PER: (P1:(28.5 / 1.2 rng=[0.0 - 0.0]) P2:(42.7 / 1.3 rng=[0.0 - 0.0]) P3:(57.3 / 1.2 rng=[0.0 - 0.0]) P4:(71.5 / 1.2 rng=[0.0 - 0.0]) ERR:E12=3.2e-09 E21=7.2e-09 E23=2.9e-09 E32=2.1e-09 E34=6.4e-09 E43=4.2e-09)
7,8,133,51.551 Gbps,51.551 Gbps,5.077041e+12,52,9.988604e-12,20.792754128647694,BER (8.59e-12 / 1.7e-12) rng=[5.8e-12 - 1.0e-11])  SNR (21.3 /  0.4),13.666666666666666,PEAK (29=891 / 42=603 / 57=607 / 70=891)  VALEY (34=0 / 47=0 / 63=0),2.595149105773336e-08,PER: (P1:(28.5 / 1.2 rng=[0.0 - 0.0]) P2:(42.7 / 1.3 rng=[0.0 - 0.0]) P3:(57.3 / 1.2 rng=[0.0 - 0.0]) P4:(71.5 / 1.2 rng=[0.0 - 0.0]) ERR:E12=3.2e-09 E21=7.2e-09 E23=2.9e-09 E32=2.1e-09 E34=6.4e-09 E43=4.2e-09)
8,9,144,51.551 Gbps,51.551 Gbps,5.570757e+12,57,9.99998e-12,20.792754128647694,BER (8.76e-12 / 1.7e-12) rng=[5.8e-12 - 1.0e-11])  SNR (21.3 /  0.4),13.666666666666666,PEAK (29=891 / 42=603 / 57=607 / 70=891)  VALEY (34=0 / 47=0 / 63=0),2.595149105773336e-08,PER: (P1:(28.5 / 1.2 rng=[0.0 - 0.0]) P2:(42.7 / 1.3 rng=[0.0 - 0.0]) P3:(57.3 / 1.2 rng=[0.0 - 0.0]) P4:(71.5 / 1.2 rng=[0.0 - 0.0]) ERR:E12=3.2e-09 E21=7.2e-09 E23=2.9e-09 E32=2.1e-09 E34=6.4e-09 E43=4.2e-09)
9,10,153,51.551 Gbps,51.551 Gbps,6.051330e+12,61,1.003238e-11,20.792754128647694,BER (8.90e-12 / 1.6e-12) rng=[5.8e-12 - 1.0e-11])  SNR (21.3 /  0.4),13.666666666666666,PEAK (29=891 / 42=603 / 57=607 / 70=891)  VALEY (34=0 / 47=0 / 63=0),2.595149105773336e-08,PER: (P1:(28.5 / 1.2 rng=[0.0 - 0.0]) P2:(42.7 / 1.3 rng=[0.0 - 0.0]) P3:(57.3 / 1.2 rng=[0.0 - 0.0]) P4:(71.5 / 1.2 rng=[0.0 - 0.0]) ERR:E12=3.2e-09 E21=7.2e-09 E23=2.9e-09 E32=2.1e-09 E34=6.4e-09 E43=4.2e-09)
