,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,46,26.555 Gbps,26.555 Gbps,2.132513e+11,0,3.50421e-12,0.0,  ,0.0,,0,
1,2,58,26.555 Gbps,26.555 Gbps,5.308587e+11,0,1.615629e-12,0.0,BER (3.50e-12 / nan) rng=[3.5e-12 - 3.5e-12])  ,0.0,,0,
2,3,70,26.555 Gbps,26.543 Gbps,8.719028e+11,0,1.049766e-12,0.0,BER (2.56e-12 / 1.3e-12) rng=[1.6e-12 - 3.5e-12])  ,0.0,,0,
3,4,83,26.543 Gbps,26.555 Gbps,1.204422e+12,0,7.773683e-13,0.0,BER (2.06e-12 / 1.3e-12) rng=[1.0e-12 - 3.5e-12])  ,0.0,,0,
4,5,95,26.543 Gbps,26.555 Gbps,1.539727e+12,0,6.127366e-13,0.0,BER (1.74e-12 / 1.2e-12) rng=[7.8e-13 - 3.5e-12])  ,0.0,,0,
5,6,108,26.543 Gbps,26.543 Gbps,1.868808e+12,0,5.112194e-13,0.0,BER (1.51e-12 / 1.2e-12) rng=[6.1e-13 - 3.5e-12])  ,0.0,,0,
6,7,122,26.543 Gbps,26.543 Gbps,2.229797e+12,0,4.319606e-13,0.0,BER (1.35e-12 / 1.1e-12) rng=[5.1e-13 - 3.5e-12])  ,71.0,PEAK (14=739 / 85=766)  VALEY (23),0,
7,8,134,26.555 Gbps,26.555 Gbps,2.563351e+12,0,3.799998e-13,0.0,BER (1.21e-12 / 1.1e-12) rng=[4.3e-13 - 3.5e-12])  ,71.0,PEAK (14=739 / 85=766)  VALEY (23),0,
8,9,145,26.543 Gbps,26.555 Gbps,2.814790e+12,0,3.470981e-13,0.0,BER (1.11e-12 / 1.0e-12) rng=[3.8e-13 - 3.5e-12])  ,71.0,PEAK (14=739 / 85=766)  VALEY (23),0,
9,10,154,26.555 Gbps,26.543 Gbps,3.065988e+12,0,3.193042e-13,0.0,BER (1.03e-12 / 1.0e-12) rng=[3.5e-13 - 3.5e-12])  ,71.0,PEAK (14=739 / 85=766)  VALEY (23),0,
10,11,164,26.543 Gbps,26.555 Gbps,3.327731e+12,0,2.942889e-13,0.0,BER (9.55e-13 / 9.8e-13) rng=[3.2e-13 - 3.5e-12])  ,71.0,PEAK (14=739 / 85=766)  VALEY (23),0,
11,12,173,26.543 Gbps,26.555 Gbps,3.584830e+12,0,2.738736e-13,0.0,BER (8.95e-13 / 9.5e-13) rng=[2.9e-13 - 3.5e-12])  ,71.0,PEAK (14=739 / 85=766)  VALEY (23),0,
12,13,183,26.543 Gbps,26.555 Gbps,3.829398e+12,0,2.566787e-13,0.0,BER (8.43e-13 / 9.3e-13) rng=[2.7e-13 - 3.5e-12])  ,71.0,PEAK (14=739 / 85=766)  VALEY (23),0,
13,14,192,26.543 Gbps,26.555 Gbps,4.082773e+12,0,2.409992e-13,0.0,BER (7.98e-13 / 9.0e-13) rng=[2.6e-13 - 3.5e-12])  ,71.0,PEAK (14=739 / 85=766)  VALEY (23),0,
14,15,202,26.555 Gbps,26.555 Gbps,4.333456e+12,0,2.271846e-13,0.0,BER (7.58e-13 / 8.8e-13) rng=[2.4e-13 - 3.5e-12])  ,71.0,PEAK (14=739 / 85=766)  VALEY (23),0,
15,16,211,26.555 Gbps,26.555 Gbps,4.577914e+12,0,2.153294e-13,0.0,BER (7.23e-13 / 8.6e-13) rng=[2.3e-13 - 3.5e-12])  ,71.0,PEAK (14=739 / 85=766)  VALEY (23),0,
16,17,220,26.555 Gbps,26.543 Gbps,4.827794e+12,0,2.043097e-13,0.0,BER (6.91e-13 / 8.4e-13) rng=[2.2e-13 - 3.5e-12])  ,71.0,PEAK (14=739 / 85=766)  VALEY (23),0,
