,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,49,51.551 Gbps,51.551 Gbps,4.500516e+11,0,1.675281e-12,22.117297594573365,  SNR (21.9 /  0.3),0.0,,0.0,
1,2,60,51.551 Gbps,51.551 Gbps,1.097902e+12,0,8.158213e-13,22.117297594573365,BER (1.68e-12 / nan) rng=[1.7e-12 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
2,3,72,51.551 Gbps,51.551 Gbps,1.778684e+12,0,5.214391e-13,22.117297594573365,BER (1.25e-12 / 6.1e-13) rng=[8.2e-13 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
3,4,85,51.551 Gbps,51.551 Gbps,2.414982e+12,0,3.878574e-13,22.117297594573365,BER (1.00e-12 / 6.0e-13) rng=[5.2e-13 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
4,5,97,51.551 Gbps,51.551 Gbps,3.065499e+12,0,3.09596e-13,22.117297594573365,BER (8.50e-13 / 5.8e-13) rng=[3.9e-13 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
5,6,110,51.551 Gbps,51.551 Gbps,3.748405e+12,0,2.560472e-13,22.117297594573365,BER (7.42e-13 / 5.6e-13) rng=[3.1e-13 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
6,7,123,51.551 Gbps,51.551 Gbps,4.391876e+12,0,2.203117e-13,22.117297594573365,BER (6.61e-13 / 5.4e-13) rng=[2.6e-13 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
7,8,135,51.551 Gbps,51.551 Gbps,5.057980e+12,0,1.931378e-13,22.117297594573365,BER (5.98e-13 / 5.2e-13) rng=[2.2e-13 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
8,9,146,51.551 Gbps,51.551 Gbps,5.507431e+12,0,1.774469e-13,22.117297594573365,BER (5.47e-13 / 5.0e-13) rng=[1.9e-13 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
9,10,155,51.551 Gbps,51.551 Gbps,5.987724e+12,0,1.635079e-13,22.117297594573365,BER (5.06e-13 / 4.8e-13) rng=[1.8e-13 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
10,11,165,51.551 Gbps,51.551 Gbps,6.485709e+12,0,1.512052e-13,22.117297594573365,BER (4.72e-13 / 4.7e-13) rng=[1.6e-13 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
11,12,174,51.551 Gbps,51.551 Gbps,6.964691e+12,0,1.409803e-13,22.117297594573365,BER (4.43e-13 / 4.5e-13) rng=[1.5e-13 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
12,13,184,51.551 Gbps,51.551 Gbps,7.424897e+12,0,1.323769e-13,22.117297594573365,BER (4.18e-13 / 4.4e-13) rng=[1.4e-13 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
13,14,193,51.551 Gbps,51.551 Gbps,7.911636e+12,0,1.244297e-13,22.117297594573365,BER (3.96e-13 / 4.3e-13) rng=[1.3e-13 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
14,15,202,51.551 Gbps,51.551 Gbps,8.389233e+12,0,1.173941e-13,22.117297594573365,BER (3.76e-13 / 4.2e-13) rng=[1.2e-13 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
15,16,211,51.551 Gbps,51.551 Gbps,8.871495e+12,0,1.111036e-13,22.117297594573365,BER (3.59e-13 / 4.1e-13) rng=[1.2e-13 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
16,17,221,51.551 Gbps,51.551 Gbps,9.373238e+12,0,1.052414e-13,22.117297594573365,BER (3.44e-13 / 4.0e-13) rng=[1.1e-13 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
17,18,230,51.551 Gbps,51.551 Gbps,9.867356e+12,0,1.000411e-13,22.117297594573365,BER (3.30e-13 / 3.9e-13) rng=[1.1e-13 - 1.7e-12])  SNR (21.9 /  0.3),16.333333333333332,PEAK (25=715 / 40=537 / 59=569 / 74=715)  VALEY (30=0 / 46=0 / 62=0),1.2931257954997616e-12,PER: (P1:(26.3 / 0.9 rng=[0.0 - 0.0]) P2:(41.6 / 1.1 rng=[0.0 - 0.0]) P3:(58.4 / 1.1 rng=[0.0 - 0.0]) P4:(73.5 / 1.0 rng=[0.0 - 0.0]) ERR:E12=3.3e-16 E21=8.3e-13 E23=6.0e-15 E32=1.4e-15 E34=4.0e-13 E43=5.2e-14)
