,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,43,51.551 Gbps,51.563 Gbps,4.046212e+11,0,1.830325e-12,0.0,  ,0.0,,0.0,
1,2,56,51.551 Gbps,51.551 Gbps,1.061164e+12,0,8.197827e-13,0.0,BER (1.83e-12 / nan) rng=[1.8e-12 - 1.8e-12])  ,0.0,,0.0,
2,3,68,51.551 Gbps,51.551 Gbps,1.728558e+12,0,5.335595e-13,0.0,BER (1.33e-12 / 7.1e-13) rng=[8.2e-13 - 1.8e-12])  ,0.0,,0.0,
3,4,82,51.551 Gbps,51.551 Gbps,2.401893e+12,0,3.916413e-13,0.0,BER (1.06e-12 / 6.8e-13) rng=[5.3e-13 - 1.8e-12])  ,0.0,,0.0,
4,5,94,51.551 Gbps,51.551 Gbps,3.070480e+12,0,3.080782e-13,21.905272368303088,BER (8.94e-13 / 6.5e-13) rng=[3.9e-13 - 1.8e-12])  SNR (22.0 /  0.1),0.0,,0.0,
5,6,108,51.551 Gbps,51.551 Gbps,3.713867e+12,0,2.575598e-13,21.87495908568775,BER (7.77e-13 / 6.2e-13) rng=[3.1e-13 - 1.8e-12])  SNR (22.0 /  0.1),14.333333333333334,PEAK (28=498 / 42=410 / 57=416 / 71=498)  VALEY (32=0 / 47=0 / 61=0),1.7170899901342814e-11,PER: (P1:(28.1 / 0.9 rng=[0.0 - 0.0]) P2:(42.4 / 1.1 rng=[0.0 - 0.0]) P3:(57.6 / 1.1 rng=[0.0 - 0.0]) P4:(71.8 / 1.0 rng=[0.0 - 0.0]) ERR:E12=1.1e-14 E21=8.7e-12 E23=4.0e-13 E32=2.2e-13 E34=7.5e-12 E43=3.2e-13)
6,7,120,51.551 Gbps,51.551 Gbps,4.396136e+12,0,2.196312e-13,21.87495908568775,BER (6.90e-13 / 5.9e-13) rng=[2.6e-13 - 1.8e-12])  SNR (22.0 /  0.1),14.333333333333334,PEAK (28=818 / 42=697 / 57=698 / 71=818)  VALEY (32=0 / 47=0 / 62=0),1.7170899901342814e-11,PER: (P1:(28.1 / 0.9 rng=[0.0 - 0.0]) P2:(42.4 / 1.1 rng=[0.0 - 0.0]) P3:(57.6 / 1.1 rng=[0.0 - 0.0]) P4:(71.8 / 1.0 rng=[0.0 - 0.0]) ERR:E12=1.1e-14 E21=8.7e-12 E23=4.0e-13 E32=2.2e-13 E34=7.5e-12 E43=3.2e-13)
7,8,134,51.551 Gbps,51.551 Gbps,5.057820e+12,0,1.928033e-13,21.87495908568775,BER (6.23e-13 / 5.7e-13) rng=[2.2e-13 - 1.8e-12])  SNR (22.0 /  0.1),14.333333333333334,PEAK (28=818 / 42=697 / 57=698 / 71=818)  VALEY (32=0 / 47=0 / 62=0),1.7170899901342814e-11,PER: (P1:(28.1 / 0.9 rng=[0.0 - 0.0]) P2:(42.4 / 1.1 rng=[0.0 - 0.0]) P3:(57.6 / 1.1 rng=[0.0 - 0.0]) P4:(71.8 / 1.0 rng=[0.0 - 0.0]) ERR:E12=1.1e-14 E21=8.7e-12 E23=4.0e-13 E32=2.2e-13 E34=7.5e-12 E43=3.2e-13)
8,9,144,51.551 Gbps,51.563 Gbps,5.559452e+12,0,1.758074e-13,21.87495908568775,BER (5.69e-13 / 5.5e-13) rng=[1.9e-13 - 1.8e-12])  SNR (22.0 /  0.1),14.333333333333334,PEAK (28=818 / 42=697 / 57=698 / 71=818)  VALEY (32=0 / 47=0 / 62=0),1.7170899901342814e-11,PER: (P1:(28.1 / 0.9 rng=[0.0 - 0.0]) P2:(42.4 / 1.1 rng=[0.0 - 0.0]) P3:(57.6 / 1.1 rng=[0.0 - 0.0]) P4:(71.8 / 1.0 rng=[0.0 - 0.0]) ERR:E12=1.1e-14 E21=8.7e-12 E23=4.0e-13 E32=2.2e-13 E34=7.5e-12 E43=3.2e-13)
9,10,154,51.551 Gbps,51.551 Gbps,6.036085e+12,0,1.622071e-13,21.87495908568775,BER (5.25e-13 / 5.3e-13) rng=[1.8e-13 - 1.8e-12])  SNR (22.0 /  0.1),14.333333333333334,PEAK (28=818 / 42=697 / 57=698 / 71=818)  VALEY (32=0 / 47=0 / 62=0),1.7170899901342814e-11,PER: (P1:(28.1 / 0.9 rng=[0.0 - 0.0]) P2:(42.4 / 1.1 rng=[0.0 - 0.0]) P3:(57.6 / 1.1 rng=[0.0 - 0.0]) P4:(71.8 / 1.0 rng=[0.0 - 0.0]) ERR:E12=1.1e-14 E21=8.7e-12 E23=4.0e-13 E32=2.2e-13 E34=7.5e-12 E43=3.2e-13)
