,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,43,10.31 Gbps,10.31 Gbps,7.483706e+10,0,9.347432e-12,0.0,  ,0.0,,0,
1,2,56,10.31 Gbps,10.31 Gbps,2.072941e+11,0,4.125613e-12,0.0,BER (9.35e-12 / nan) rng=[9.3e-12 - 9.3e-12])  ,0.0,,0,
2,3,69,10.31 Gbps,10.31 Gbps,3.377387e+11,0,2.667789e-12,0.0,BER (6.74e-12 / 3.7e-12) rng=[4.1e-12 - 9.3e-12])  ,0.0,,0,
3,4,81,10.31 Gbps,10.31 Gbps,4.683451e+11,0,2.001022e-12,0.0,BER (5.38e-12 / 3.5e-12) rng=[2.7e-12 - 9.3e-12])  ,0.0,,0,
4,5,93,10.31 Gbps,10.31 Gbps,5.907951e+11,0,1.606042e-12,0.0,BER (4.54e-12 / 3.3e-12) rng=[2.0e-12 - 9.3e-12])  ,0.0,,0,
5,6,106,10.31 Gbps,10.31 Gbps,7.231790e+11,0,1.314149e-12,0.0,BER (3.95e-12 / 3.2e-12) rng=[1.6e-12 - 9.3e-12])  ,0.0,,0,
6,7,120,10.31 Gbps,10.31 Gbps,8.700008e+11,0,1.113511e-12,8.386619157928227,BER (3.51e-12 / 3.0e-12) rng=[1.3e-12 - 9.3e-12])  SNR ( 7.9 /  0.7),0.0,,0,
7,8,133,10.31 Gbps,10.31 Gbps,9.986355e+11,0,9.763158e-13,8.386619157928227,BER (3.17e-12 / 2.9e-12) rng=[1.1e-12 - 9.3e-12])  SNR ( 7.9 /  0.7),77.0,PEAK (11=886 / 88=850)  VALEY (24),0,
8,9,143,10.31 Gbps,10.31 Gbps,1.093332e+12,0,8.928862e-13,8.386619157928227,BER (2.89e-12 / 2.8e-12) rng=[9.8e-13 - 9.3e-12])  SNR ( 7.9 /  0.7),77.0,PEAK (11=886 / 88=850)  VALEY (24),0,
9,10,153,10.31 Gbps,10.31 Gbps,1.192172e+12,0,8.20419e-13,8.386619157928227,BER (2.67e-12 / 2.7e-12) rng=[8.9e-13 - 9.3e-12])  SNR ( 7.9 /  0.7),77.0,PEAK (11=886 / 88=850)  VALEY (24),0,
10,11,162,10.31 Gbps,10.31 Gbps,1.289863e+12,0,7.601022e-13,8.386619157928227,BER (2.49e-12 / 2.6e-12) rng=[8.2e-13 - 9.3e-12])  SNR ( 7.9 /  0.7),77.0,PEAK (11=886 / 88=850)  VALEY (24),0,
11,12,171,10.31 Gbps,10.31 Gbps,1.385787e+12,0,7.079342e-13,8.386619157928227,BER (2.33e-12 / 2.5e-12) rng=[7.6e-13 - 9.3e-12])  SNR ( 7.9 /  0.7),77.0,PEAK (11=886 / 88=850)  VALEY (24),0,
12,13,181,10.31 Gbps,10.31 Gbps,1.483024e+12,0,6.622909e-13,8.386619157928227,BER (2.19e-12 / 2.5e-12) rng=[7.1e-13 - 9.3e-12])  SNR ( 7.9 /  0.7),77.0,PEAK (11=886 / 88=850)  VALEY (24),0,
13,14,191,10.31 Gbps,10.31 Gbps,1.586099e+12,0,6.197468e-13,8.386619157928227,BER (2.08e-12 / 2.4e-12) rng=[6.6e-13 - 9.3e-12])  SNR ( 7.9 /  0.7),77.0,PEAK (11=886 / 88=850)  VALEY (24),0,
