,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,48,56.414 Gbps,56.414 Gbps,5.178613e+11,1616,2.827652e-09,0.0,  ,0.0,,0.0,
1,2,58,56.414 Gbps,56.414 Gbps,1.195350e+12,3620,2.86307e-09,22.24976781569787,BER (2.83e-09 / nan) rng=[2.8e-09 - 2.8e-09])  SNR (22.8 /  0.8),0.0,,0.0,
2,3,70,56.402 Gbps,56.402 Gbps,1.902241e+12,5619,2.830341e-09,22.24976781569787,BER (2.85e-09 / 2.5e-11) rng=[2.8e-09 - 2.9e-09])  SNR (22.8 /  0.8),19.666666666666668,PEAK (20=468 / 40=710 / 59=710 / 79=459)  VALEY (26=0 / 45=0 / 65=0),4.235350600285023e-11,PER: (P1:(20.7 / 1.4 rng=[0.0 - 0.0]) P2:(39.8 / 1.4 rng=[0.0 - 0.0]) P3:(60.2 / 1.4 rng=[0.0 - 0.0]) P4:(79.3 / 1.4 rng=[0.0 - 0.0]) ERR:E12=7.2e-12 E21=1.7e-11 E23=5.7e-13 E32=2.7e-13 E34=8.9e-12 E43=8.5e-12)
3,4,82,56.402 Gbps,56.414 Gbps,2.622119e+12,7640,2.837335e-09,22.24976781569787,BER (2.84e-09 / 2.0e-11) rng=[2.8e-09 - 2.9e-09])  SNR (22.8 /  0.8),19.666666666666668,PEAK (20=468 / 40=710 / 59=710 / 79=459)  VALEY (26=0 / 45=0 / 65=0),4.235350600285023e-11,PER: (P1:(20.7 / 1.4 rng=[0.0 - 0.0]) P2:(39.8 / 1.4 rng=[0.0 - 0.0]) P3:(60.2 / 1.4 rng=[0.0 - 0.0]) P4:(79.3 / 1.4 rng=[0.0 - 0.0]) ERR:E12=7.2e-12 E21=1.7e-11 E23=5.7e-13 E32=2.7e-13 E34=8.9e-12 E43=8.5e-12)
4,5,96,56.414 Gbps,56.402 Gbps,3.340344e+12,9667,2.828805e-09,22.24976781569787,BER (2.84e-09 / 1.6e-11) rng=[2.8e-09 - 2.9e-09])  SNR (22.8 /  0.8),19.666666666666668,PEAK (20=468 / 40=710 / 59=710 / 79=459)  VALEY (26=0 / 45=0 / 65=0),4.235350600285023e-11,PER: (P1:(20.7 / 1.4 rng=[0.0 - 0.0]) P2:(39.8 / 1.4 rng=[0.0 - 0.0]) P3:(60.2 / 1.4 rng=[0.0 - 0.0]) P4:(79.3 / 1.4 rng=[0.0 - 0.0]) ERR:E12=7.2e-12 E21=1.7e-11 E23=5.7e-13 E32=2.7e-13 E34=8.9e-12 E43=8.5e-12)
5,6,108,56.402 Gbps,56.402 Gbps,4.055439e+12,11588,2.796452e-09,22.24976781569787,BER (2.84e-09 / 1.5e-11) rng=[2.8e-09 - 2.9e-09])  SNR (22.8 /  0.8),19.666666666666668,PEAK (20=468 / 40=710 / 59=710 / 79=459)  VALEY (26=0 / 45=0 / 65=0),4.235350600285023e-11,PER: (P1:(20.7 / 1.4 rng=[0.0 - 0.0]) P2:(39.8 / 1.4 rng=[0.0 - 0.0]) P3:(60.2 / 1.4 rng=[0.0 - 0.0]) P4:(79.3 / 1.4 rng=[0.0 - 0.0]) ERR:E12=7.2e-12 E21=1.7e-11 E23=5.7e-13 E32=2.7e-13 E34=8.9e-12 E43=8.5e-12)
6,7,121,56.414 Gbps,56.414 Gbps,4.807079e+12,13578,2.769565e-09,22.24976781569787,BER (2.83e-09 / 2.1e-11) rng=[2.8e-09 - 2.9e-09])  SNR (22.8 /  0.8),19.666666666666668,PEAK (20=468 / 40=710 / 59=710 / 79=459)  VALEY (26=0 / 45=0 / 65=0),4.235350600285023e-11,PER: (P1:(20.7 / 1.4 rng=[0.0 - 0.0]) P2:(39.8 / 1.4 rng=[0.0 - 0.0]) P3:(60.2 / 1.4 rng=[0.0 - 0.0]) P4:(79.3 / 1.4 rng=[0.0 - 0.0]) ERR:E12=7.2e-12 E21=1.7e-11 E23=5.7e-13 E32=2.7e-13 E34=8.9e-12 E43=8.5e-12)
7,8,134,56.402 Gbps,56.402 Gbps,5.524076e+12,15523,2.764451e-09,22.24976781569787,BER (2.82e-09 / 3.0e-11) rng=[2.8e-09 - 2.9e-09])  SNR (22.8 /  0.8),19.666666666666668,PEAK (20=468 / 40=710 / 59=710 / 79=459)  VALEY (26=0 / 45=0 / 65=0),4.235350600285023e-11,PER: (P1:(20.7 / 1.4 rng=[0.0 - 0.0]) P2:(39.8 / 1.4 rng=[0.0 - 0.0]) P3:(60.2 / 1.4 rng=[0.0 - 0.0]) P4:(79.3 / 1.4 rng=[0.0 - 0.0]) ERR:E12=7.2e-12 E21=1.7e-11 E23=5.7e-13 E32=2.7e-13 E34=8.9e-12 E43=8.5e-12)
8,9,146,56.414 Gbps,56.402 Gbps,6.077184e+12,16956,2.76017e-09,22.24976781569787,BER (2.81e-09 / 3.5e-11) rng=[2.8e-09 - 2.9e-09])  SNR (22.8 /  0.8),19.666666666666668,PEAK (20=468 / 40=710 / 59=710 / 79=459)  VALEY (26=0 / 45=0 / 65=0),4.235350600285023e-11,PER: (P1:(20.7 / 1.4 rng=[0.0 - 0.0]) P2:(39.8 / 1.4 rng=[0.0 - 0.0]) P3:(60.2 / 1.4 rng=[0.0 - 0.0]) P4:(79.3 / 1.4 rng=[0.0 - 0.0]) ERR:E12=7.2e-12 E21=1.7e-11 E23=5.7e-13 E32=2.7e-13 E34=8.9e-12 E43=8.5e-12)
9,10,155,56.414 Gbps,56.402 Gbps,6.604094e+12,18380,2.753068e-09,22.24976781569787,BER (2.81e-09 / 3.7e-11) rng=[2.8e-09 - 2.9e-09])  SNR (22.8 /  0.8),19.666666666666668,PEAK (20=468 / 40=710 / 59=710 / 79=459)  VALEY (26=0 / 45=0 / 65=0),4.235350600285023e-11,PER: (P1:(20.7 / 1.4 rng=[0.0 - 0.0]) P2:(39.8 / 1.4 rng=[0.0 - 0.0]) P3:(60.2 / 1.4 rng=[0.0 - 0.0]) P4:(79.3 / 1.4 rng=[0.0 - 0.0]) ERR:E12=7.2e-12 E21=1.7e-11 E23=5.7e-13 E32=2.7e-13 E34=8.9e-12 E43=8.5e-12)
