,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,41,28.207 Gbps,28.207 Gbps,1.966084e+11,0,3.446229e-12,0.0,  ,0.0,,0,
1,2,54,28.207 Gbps,28.201 Gbps,5.588615e+11,0,1.538247e-12,0.0,BER (3.45e-12 / nan) rng=[3.4e-12 - 3.4e-12])  ,0.0,,0,
2,3,66,28.207 Gbps,28.201 Gbps,9.218484e+11,0,9.916243e-13,0.0,BER (2.49e-12 / 1.3e-12) rng=[1.5e-12 - 3.4e-12])  ,0.0,,0,
3,4,79,28.201 Gbps,28.207 Gbps,1.279938e+12,0,7.228445e-13,0.0,BER (1.99e-12 / 1.3e-12) rng=[9.9e-13 - 3.4e-12])  ,0.0,,0,
4,5,93,28.207 Gbps,28.207 Gbps,1.661412e+12,0,5.706058e-13,0.0,BER (1.67e-12 / 1.2e-12) rng=[7.2e-13 - 3.4e-12])  ,0.0,,0,
5,6,106,28.207 Gbps,28.207 Gbps,2.003392e+12,0,4.803559e-13,0.0,BER (1.45e-12 / 1.2e-12) rng=[5.7e-13 - 3.4e-12])  ,0.0,,0,
6,7,117,28.207 Gbps,28.201 Gbps,2.348134e+12,0,4.078808e-13,0.0,BER (1.29e-12 / 1.1e-12) rng=[4.8e-13 - 3.4e-12])  ,0.0,,0,
7,8,131,28.201 Gbps,28.207 Gbps,2.734287e+12,0,3.565428e-13,0.0,BER (1.17e-12 / 1.1e-12) rng=[4.1e-13 - 3.4e-12])  ,0.0,,0,
8,9,141,28.201 Gbps,28.201 Gbps,2.997376e+12,0,3.25951e-13,0.0,BER (1.06e-12 / 1.0e-12) rng=[3.6e-13 - 3.4e-12])  ,71.0,PEAK (14=993 / 85=963)  VALEY (25),0,
9,10,150,28.207 Gbps,28.201 Gbps,3.255377e+12,0,3.006791e-13,0.0,BER (9.82e-13 / 1.0e-12) rng=[3.3e-13 - 3.4e-12])  ,71.0,PEAK (14=993 / 85=963)  VALEY (25),0,
10,11,159,28.207 Gbps,28.207 Gbps,3.505677e+12,0,2.796377e-13,0.0,BER (9.14e-13 / 9.7e-13) rng=[3.0e-13 - 3.4e-12])  ,71.0,PEAK (14=993 / 85=963)  VALEY (25),0,
11,12,169,28.207 Gbps,28.207 Gbps,3.770818e+12,0,2.602057e-13,0.0,BER (8.56e-13 / 9.4e-13) rng=[2.8e-13 - 3.4e-12])  ,71.0,PEAK (14=993 / 85=963)  VALEY (25),0,
12,13,178,28.207 Gbps,28.207 Gbps,4.045040e+12,0,2.428821e-13,0.0,BER (8.07e-13 / 9.1e-13) rng=[2.6e-13 - 3.4e-12])  ,71.0,PEAK (14=993 / 85=963)  VALEY (25),0,
13,14,188,28.207 Gbps,28.201 Gbps,4.313946e+12,0,2.279638e-13,0.0,BER (7.63e-13 / 8.9e-13) rng=[2.4e-13 - 3.4e-12])  ,71.0,PEAK (14=993 / 85=963)  VALEY (25),0,
14,15,197,28.207 Gbps,28.207 Gbps,4.569927e+12,0,2.154136e-13,0.0,BER (7.25e-13 / 8.6e-13) rng=[2.3e-13 - 3.4e-12])  ,71.0,PEAK (14=993 / 85=963)  VALEY (25),0,
15,16,207,28.201 Gbps,28.207 Gbps,4.837661e+12,0,2.037142e-13,0.0,BER (6.91e-13 / 8.4e-13) rng=[2.2e-13 - 3.4e-12])  ,71.0,PEAK (14=993 / 85=963)  VALEY (25),0,
16,17,216,28.207 Gbps,28.201 Gbps,5.099886e+12,0,1.933079e-13,0.0,BER (6.61e-13 / 8.2e-13) rng=[2.0e-13 - 3.4e-12])  ,71.0,PEAK (14=993 / 85=963)  VALEY (25),0,
17,18,225,28.201 Gbps,28.207 Gbps,5.358752e+12,0,1.840195e-13,0.0,BER (6.33e-13 / 8.0e-13) rng=[1.9e-13 - 3.4e-12])  ,71.0,PEAK (14=993 / 85=963)  VALEY (25),0,
18,19,234,28.207 Gbps,28.201 Gbps,5.627617e+12,0,1.754123e-13,0.0,BER (6.08e-13 / 7.9e-13) rng=[1.8e-13 - 3.4e-12])  ,71.0,PEAK (14=993 / 85=963)  VALEY (25),0,
