,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,43,51.551 Gbps,51.551 Gbps,3.683208e+11,0,1.863852e-12,0.0,  ,0.0,,0.0,
1,2,56,51.551 Gbps,51.551 Gbps,1.028958e+12,0,8.345339e-13,0.0,BER (1.86e-12 / nan) rng=[1.9e-12 - 1.9e-12])  ,0.0,,0.0,
2,3,69,51.551 Gbps,51.551 Gbps,1.700379e+12,0,5.350554e-13,0.0,BER (1.35e-12 / 7.3e-13) rng=[8.3e-13 - 1.9e-12])  ,0.0,,0.0,
3,4,82,51.551 Gbps,51.551 Gbps,2.369672e+12,0,3.899637e-13,0.0,BER (1.08e-12 / 7.0e-13) rng=[5.4e-13 - 1.9e-12])  ,0.0,,0.0,
4,5,95,51.551 Gbps,51.563 Gbps,3.049912e+12,0,3.084373e-13,0.0,BER (9.06e-13 / 6.6e-13) rng=[3.9e-13 - 1.9e-12])  ,0.0,,0.0,
5,6,109,51.551 Gbps,51.551 Gbps,3.698881e+12,0,2.562848e-13,0.0,BER (7.86e-13 / 6.3e-13) rng=[3.1e-13 - 1.9e-12])  ,0.0,,0.0,
6,7,122,51.551 Gbps,51.551 Gbps,4.391942e+12,0,2.19681e-13,22.98422030757952,BER (6.98e-13 / 6.1e-13) rng=[2.6e-13 - 1.9e-12])  SNR (22.8 /  0.4),0.0,,0.0,
7,8,135,51.551 Gbps,51.551 Gbps,5.049496e+12,0,1.931087e-13,22.98422030757952,BER (6.30e-13 / 5.8e-13) rng=[2.2e-13 - 1.9e-12])  SNR (22.8 /  0.4),15.333333333333334,PEAK (26=989 / 41=993 / 58=1039 / 72=993)  VALEY (30=0 / 46=0 / 62=0),6.9029479324333764e-18,PER: (P1:(27.2 / 0.9 rng=[0.0 - 0.0]) P2:(42.1 / 0.9 rng=[0.0 - 0.0]) P3:(57.9 / 0.9 rng=[0.0 - 0.0]) P4:(72.7 / 0.9 rng=[0.0 - 0.0]) ERR:E12=0.0e+00 E21=2.1e-18 E23=0.0e+00 E32=1.6e-20 E34=0.0e+00 E43=4.8e-18)
8,9,145,51.551 Gbps,51.551 Gbps,5.551736e+12,0,1.760623e-13,22.98422030757952,BER (5.75e-13 / 5.6e-13) rng=[1.9e-13 - 1.9e-12])  SNR (22.8 /  0.4),15.333333333333334,PEAK (26=989 / 41=993 / 58=1039 / 72=993)  VALEY (30=0 / 46=0 / 62=0),6.9029479324333764e-18,PER: (P1:(27.2 / 0.9 rng=[0.0 - 0.0]) P2:(42.1 / 0.9 rng=[0.0 - 0.0]) P3:(57.9 / 0.9 rng=[0.0 - 0.0]) P4:(72.7 / 0.9 rng=[0.0 - 0.0]) ERR:E12=0.0e+00 E21=2.1e-18 E23=0.0e+00 E32=1.6e-20 E34=0.0e+00 E43=4.8e-18)
9,10,154,51.551 Gbps,51.551 Gbps,6.028112e+12,0,1.622004e-13,22.98422030757952,BER (5.31e-13 / 5.4e-13) rng=[1.8e-13 - 1.9e-12])  SNR (22.8 /  0.4),15.333333333333334,PEAK (26=989 / 41=993 / 58=1039 / 72=993)  VALEY (30=0 / 46=0 / 62=0),6.9029479324333764e-18,PER: (P1:(27.2 / 0.9 rng=[0.0 - 0.0]) P2:(42.1 / 0.9 rng=[0.0 - 0.0]) P3:(57.9 / 0.9 rng=[0.0 - 0.0]) P4:(72.7 / 0.9 rng=[0.0 - 0.0]) ERR:E12=0.0e+00 E21=2.1e-18 E23=0.0e+00 E32=1.6e-20 E34=0.0e+00 E43=4.8e-18)
10,11,164,51.551 Gbps,51.551 Gbps,6.527891e+12,0,1.501989e-13,22.98422030757952,BER (4.94e-13 / 5.2e-13) rng=[1.6e-13 - 1.9e-12])  SNR (22.8 /  0.4),15.333333333333334,PEAK (26=989 / 41=993 / 58=1039 / 72=993)  VALEY (30=0 / 46=0 / 62=0),6.9029479324333764e-18,PER: (P1:(27.2 / 0.9 rng=[0.0 - 0.0]) P2:(42.1 / 0.9 rng=[0.0 - 0.0]) P3:(57.9 / 0.9 rng=[0.0 - 0.0]) P4:(72.7 / 0.9 rng=[0.0 - 0.0]) ERR:E12=0.0e+00 E21=2.1e-18 E23=0.0e+00 E32=1.6e-20 E34=0.0e+00 E43=4.8e-18)
11,12,173,51.551 Gbps,51.551 Gbps,7.004538e+12,0,1.401833e-13,22.98422030757952,BER (4.63e-13 / 5.1e-13) rng=[1.5e-13 - 1.9e-12])  SNR (22.8 /  0.4),15.333333333333334,PEAK (26=989 / 41=993 / 58=1039 / 72=993)  VALEY (30=0 / 46=0 / 62=0),6.9029479324333764e-18,PER: (P1:(27.2 / 0.9 rng=[0.0 - 0.0]) P2:(42.1 / 0.9 rng=[0.0 - 0.0]) P3:(57.9 / 0.9 rng=[0.0 - 0.0]) P4:(72.7 / 0.9 rng=[0.0 - 0.0]) ERR:E12=0.0e+00 E21=2.1e-18 E23=0.0e+00 E32=1.6e-20 E34=0.0e+00 E43=4.8e-18)
12,13,183,51.551 Gbps,51.551 Gbps,7.502414e+12,0,1.309038e-13,22.98422030757952,BER (4.36e-13 / 4.9e-13) rng=[1.4e-13 - 1.9e-12])  SNR (22.8 /  0.4),15.333333333333334,PEAK (26=989 / 41=993 / 58=1039 / 72=993)  VALEY (30=0 / 46=0 / 62=0),6.9029479324333764e-18,PER: (P1:(27.2 / 0.9 rng=[0.0 - 0.0]) P2:(42.1 / 0.9 rng=[0.0 - 0.0]) P3:(57.9 / 0.9 rng=[0.0 - 0.0]) P4:(72.7 / 0.9 rng=[0.0 - 0.0]) ERR:E12=0.0e+00 E21=2.1e-18 E23=0.0e+00 E32=1.6e-20 E34=0.0e+00 E43=4.8e-18)
13,14,193,51.551 Gbps,51.551 Gbps,8.000380e+12,0,1.229534e-13,22.98422030757952,BER (4.12e-13 / 4.8e-13) rng=[1.3e-13 - 1.9e-12])  SNR (22.8 /  0.4),15.333333333333334,PEAK (26=989 / 41=993 / 58=1039 / 72=993)  VALEY (30=0 / 46=0 / 62=0),6.9029479324333764e-18,PER: (P1:(27.2 / 0.9 rng=[0.0 - 0.0]) P2:(42.1 / 0.9 rng=[0.0 - 0.0]) P3:(57.9 / 0.9 rng=[0.0 - 0.0]) P4:(72.7 / 0.9 rng=[0.0 - 0.0]) ERR:E12=0.0e+00 E21=2.1e-18 E23=0.0e+00 E32=1.6e-20 E34=0.0e+00 E43=4.8e-18)
14,15,202,51.551 Gbps,51.551 Gbps,8.495552e+12,0,1.156959e-13,22.98422030757952,BER (3.92e-13 / 4.7e-13) rng=[1.2e-13 - 1.9e-12])  SNR (22.8 /  0.4),15.333333333333334,PEAK (26=989 / 41=993 / 58=1039 / 72=993)  VALEY (30=0 / 46=0 / 62=0),6.9029479324333764e-18,PER: (P1:(27.2 / 0.9 rng=[0.0 - 0.0]) P2:(42.1 / 0.9 rng=[0.0 - 0.0]) P3:(57.9 / 0.9 rng=[0.0 - 0.0]) P4:(72.7 / 0.9 rng=[0.0 - 0.0]) ERR:E12=0.0e+00 E21=2.1e-18 E23=0.0e+00 E32=1.6e-20 E34=0.0e+00 E43=4.8e-18)
15,16,212,51.551 Gbps,51.551 Gbps,9.016153e+12,0,1.092782e-13,22.98422030757952,BER (3.73e-13 / 4.6e-13) rng=[1.2e-13 - 1.9e-12])  SNR (22.8 /  0.4),15.333333333333334,PEAK (26=989 / 41=993 / 58=1039 / 72=993)  VALEY (30=0 / 46=0 / 62=0),6.9029479324333764e-18,PER: (P1:(27.2 / 0.9 rng=[0.0 - 0.0]) P2:(42.1 / 0.9 rng=[0.0 - 0.0]) P3:(57.9 / 0.9 rng=[0.0 - 0.0]) P4:(72.7 / 0.9 rng=[0.0 - 0.0]) ERR:E12=0.0e+00 E21=2.1e-18 E23=0.0e+00 E32=1.6e-20 E34=0.0e+00 E43=4.8e-18)
16,17,222,51.551 Gbps,51.551 Gbps,9.494108e+12,0,1.037362e-13,22.98422030757952,BER (3.57e-13 / 4.5e-13) rng=[1.1e-13 - 1.9e-12])  SNR (22.8 /  0.4),15.333333333333334,PEAK (26=989 / 41=993 / 58=1039 / 72=993)  VALEY (30=0 / 46=0 / 62=0),6.9029479324333764e-18,PER: (P1:(27.2 / 0.9 rng=[0.0 - 0.0]) P2:(42.1 / 0.9 rng=[0.0 - 0.0]) P3:(57.9 / 0.9 rng=[0.0 - 0.0]) P4:(72.7 / 0.9 rng=[0.0 - 0.0]) ERR:E12=0.0e+00 E21=2.1e-18 E23=0.0e+00 E32=1.6e-20 E34=0.0e+00 E43=4.8e-18)
17,18,231,51.551 Gbps,51.551 Gbps,9.988509e+12,0,9.874049e-14,22.98422030757952,BER (3.42e-13 / 4.4e-13) rng=[1.0e-13 - 1.9e-12])  SNR (22.8 /  0.4),15.333333333333334,PEAK (26=989 / 41=993 / 58=1039 / 72=993)  VALEY (30=0 / 46=0 / 62=0),6.9029479324333764e-18,PER: (P1:(27.2 / 0.9 rng=[0.0 - 0.0]) P2:(42.1 / 0.9 rng=[0.0 - 0.0]) P3:(57.9 / 0.9 rng=[0.0 - 0.0]) P4:(72.7 / 0.9 rng=[0.0 - 0.0]) ERR:E12=0.0e+00 E21=2.1e-18 E23=0.0e+00 E32=1.6e-20 E34=0.0e+00 E43=4.8e-18)
18,19,240,51.551 Gbps,51.551 Gbps,1.046954e+13,0,9.428009e-14,22.98422030757952,BER (3.28e-13 / 4.3e-13) rng=[9.9e-14 - 1.9e-12])  SNR (22.8 /  0.4),15.333333333333334,PEAK (26=989 / 41=993 / 58=1039 / 72=993)  VALEY (30=0 / 46=0 / 62=0),6.9029479324333764e-18,PER: (P1:(27.2 / 0.9 rng=[0.0 - 0.0]) P2:(42.1 / 0.9 rng=[0.0 - 0.0]) P3:(57.9 / 0.9 rng=[0.0 - 0.0]) P4:(72.7 / 0.9 rng=[0.0 - 0.0]) ERR:E12=0.0e+00 E21=2.1e-18 E23=0.0e+00 E32=1.6e-20 E34=0.0e+00 E43=4.8e-18)
