,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,44,10.31 Gbps,10.31 Gbps,8.631438e+10,0,8.892943e-12,0.0,  ,0.0,,0,
1,2,55,10.31 Gbps,10.313 Gbps,2.142834e+11,0,4.113616e-12,0.0,BER (8.89e-12 / nan) rng=[8.9e-12 - 8.9e-12])  ,0.0,,0,
2,3,68,10.31 Gbps,10.31 Gbps,3.535794e+11,0,2.619458e-12,0.0,BER (6.50e-12 / 3.4e-12) rng=[4.1e-12 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
3,4,80,10.31 Gbps,10.31 Gbps,4.810302e+11,0,1.949173e-12,0.0,BER (5.21e-12 / 3.3e-12) rng=[2.6e-12 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
4,5,93,10.31 Gbps,10.31 Gbps,6.125098e+11,0,1.550499e-12,0.0,BER (4.39e-12 / 3.1e-12) rng=[1.9e-12 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
5,6,106,10.31 Gbps,10.31 Gbps,7.458370e+11,0,1.285054e-12,0.0,BER (3.83e-12 / 3.0e-12) rng=[1.6e-12 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
6,7,120,10.31 Gbps,10.31 Gbps,8.871799e+11,0,1.093418e-12,0.0,BER (3.40e-12 / 2.9e-12) rng=[1.3e-12 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
7,8,132,10.31 Gbps,10.31 Gbps,1.020144e+12,0,9.562457e-13,0.0,BER (3.07e-12 / 2.8e-12) rng=[1.1e-12 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
8,9,144,10.31 Gbps,10.31 Gbps,1.117944e+12,0,8.742318e-13,0.0,BER (2.81e-12 / 2.7e-12) rng=[9.6e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
9,10,153,10.31 Gbps,10.31 Gbps,1.217469e+12,0,8.043498e-13,0.0,BER (2.59e-12 / 2.6e-12) rng=[8.7e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
10,11,163,10.31 Gbps,10.31 Gbps,1.315103e+12,0,7.457895e-13,0.0,BER (2.41e-12 / 2.5e-12) rng=[8.0e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
11,12,172,10.31 Gbps,10.31 Gbps,1.410298e+12,0,6.962786e-13,0.0,BER (2.26e-12 / 2.4e-12) rng=[7.5e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
12,13,181,10.31 Gbps,10.31 Gbps,1.508345e+12,0,6.518506e-13,0.0,BER (2.13e-12 / 2.4e-12) rng=[7.0e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
13,14,191,10.31 Gbps,10.31 Gbps,1.608316e+12,0,6.120167e-13,0.0,BER (2.02e-12 / 2.3e-12) rng=[6.5e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
14,15,201,10.31 Gbps,10.31 Gbps,1.707751e+12,0,5.768295e-13,0.0,BER (1.92e-12 / 2.2e-12) rng=[6.1e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
15,16,210,10.31 Gbps,10.31 Gbps,1.806965e+12,0,5.458742e-13,0.0,BER (1.83e-12 / 2.2e-12) rng=[5.8e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
16,17,220,10.31 Gbps,10.31 Gbps,1.899344e+12,0,5.194412e-13,0.0,BER (1.75e-12 / 2.1e-12) rng=[5.5e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
17,18,229,10.31 Gbps,10.31 Gbps,1.996997e+12,0,4.943864e-13,0.0,BER (1.68e-12 / 2.1e-12) rng=[5.2e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
18,19,239,10.31 Gbps,10.31 Gbps,2.098037e+12,0,4.707915e-13,0.0,BER (1.61e-12 / 2.0e-12) rng=[4.9e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
19,20,248,10.31 Gbps,10.31 Gbps,2.196047e+12,0,4.500781e-13,0.0,BER (1.55e-12 / 2.0e-12) rng=[4.7e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
20,21,258,10.31 Gbps,10.31 Gbps,2.293149e+12,0,4.312381e-13,0.0,BER (1.50e-12 / 2.0e-12) rng=[4.5e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
21,22,267,10.31 Gbps,10.313 Gbps,2.390324e+12,0,4.138811e-13,0.0,BER (1.44e-12 / 1.9e-12) rng=[4.3e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
22,23,276,10.31 Gbps,10.31 Gbps,2.485793e+12,0,3.981521e-13,0.0,BER (1.40e-12 / 1.9e-12) rng=[4.1e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
23,24,286,10.31 Gbps,10.31 Gbps,2.580436e+12,0,3.837124e-13,0.0,BER (1.35e-12 / 1.9e-12) rng=[4.0e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
24,25,295,10.31 Gbps,10.31 Gbps,2.676356e+12,0,3.69986e-13,0.0,BER (1.31e-12 / 1.8e-12) rng=[3.8e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
25,26,304,10.31 Gbps,10.31 Gbps,2.774058e+12,0,3.57173e-13,0.0,BER (1.28e-12 / 1.8e-12) rng=[3.7e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
26,27,314,10.31 Gbps,10.31 Gbps,2.872023e+12,0,3.449926e-13,0.0,BER (1.24e-12 / 1.8e-12) rng=[3.6e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
27,28,324,10.31 Gbps,10.31 Gbps,3.001583e+12,0,3.29807e-13,0.0,BER (1.21e-12 / 1.7e-12) rng=[3.4e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
28,29,337,10.31 Gbps,10.31 Gbps,3.139413e+12,0,3.155135e-13,0.0,BER (1.18e-12 / 1.7e-12) rng=[3.3e-13 - 8.9e-12])  ,72.0,PEAK (13=1307 / 85=1489)  VALEY (20),0,
29,30,350,10.31 Gbps,10.31 Gbps,3.267124e+12,0,3.032732e-13,0.0,BER (1.15e-12 / 1.7e-12) rng=[3.2e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
30,31,363,10.31 Gbps,10.31 Gbps,3.400646e+12,0,2.910453e-13,0.0,BER (1.12e-12 / 1.7e-12) rng=[3.0e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
31,32,376,10.31 Gbps,10.31 Gbps,3.531847e+12,0,2.803768e-13,0.0,BER (1.09e-12 / 1.7e-12) rng=[2.9e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
32,33,389,10.31 Gbps,10.31 Gbps,3.671762e+12,0,2.703585e-13,0.0,BER (1.07e-12 / 1.6e-12) rng=[2.8e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
33,34,402,10.31 Gbps,10.31 Gbps,3.801235e+12,0,2.609606e-13,0.0,BER (1.04e-12 / 1.6e-12) rng=[2.7e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
34,35,415,10.31 Gbps,10.31 Gbps,3.915877e+12,0,2.53658e-13,0.0,BER (1.02e-12 / 1.6e-12) rng=[2.6e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
35,36,425,10.31 Gbps,10.31 Gbps,4.014083e+12,0,2.475559e-13,0.0,BER (9.97e-13 / 1.6e-12) rng=[2.5e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
36,37,434,10.31 Gbps,10.31 Gbps,4.109384e+12,0,2.418903e-13,0.0,BER (9.77e-13 / 1.6e-12) rng=[2.5e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
37,38,443,10.31 Gbps,10.31 Gbps,4.207862e+12,0,2.362094e-13,0.0,BER (9.57e-13 / 1.5e-12) rng=[2.4e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
38,39,453,10.31 Gbps,10.31 Gbps,4.308319e+12,0,2.307661e-13,0.0,BER (9.38e-13 / 1.5e-12) rng=[2.4e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
39,40,462,10.31 Gbps,10.31 Gbps,4.404902e+12,0,2.25751e-13,0.0,BER (9.20e-13 / 1.5e-12) rng=[2.3e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
40,41,472,10.31 Gbps,10.31 Gbps,4.501056e+12,0,2.209407e-13,0.0,BER (9.02e-13 / 1.5e-12) rng=[2.3e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
41,42,481,10.31 Gbps,10.31 Gbps,4.604211e+12,0,2.160209e-13,0.0,BER (8.86e-13 / 1.5e-12) rng=[2.2e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
42,43,491,10.31 Gbps,10.31 Gbps,4.699974e+12,0,2.11642e-13,0.0,BER (8.70e-13 / 1.5e-12) rng=[2.2e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
43,44,500,10.31 Gbps,10.31 Gbps,4.795874e+12,0,2.074368e-13,0.0,BER (8.54e-13 / 1.5e-12) rng=[2.1e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
44,45,510,10.31 Gbps,10.31 Gbps,4.893158e+12,0,2.033245e-13,0.0,BER (8.40e-13 / 1.4e-12) rng=[2.1e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
45,46,519,10.31 Gbps,10.31 Gbps,4.990511e+12,0,1.993541e-13,0.0,BER (8.26e-13 / 1.4e-12) rng=[2.0e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
46,47,529,10.31 Gbps,10.31 Gbps,5.090580e+12,0,1.954164e-13,0.0,BER (8.12e-13 / 1.4e-12) rng=[2.0e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
47,48,538,10.31 Gbps,10.31 Gbps,5.190766e+12,0,1.916664e-13,0.0,BER (7.99e-13 / 1.4e-12) rng=[2.0e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
48,49,548,10.31 Gbps,10.31 Gbps,5.291149e+12,0,1.880575e-13,0.0,BER (7.86e-13 / 1.4e-12) rng=[1.9e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
49,50,558,10.31 Gbps,10.31 Gbps,5.389579e+12,0,1.846601e-13,0.0,BER (7.74e-13 / 1.4e-12) rng=[1.9e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
50,51,567,10.31 Gbps,10.31 Gbps,5.483629e+12,0,1.814886e-13,0.0,BER (7.62e-13 / 1.4e-12) rng=[1.8e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
51,52,577,10.31 Gbps,10.31 Gbps,5.582012e+12,0,1.783227e-13,0.0,BER (7.51e-13 / 1.4e-12) rng=[1.8e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
52,53,586,10.31 Gbps,10.31 Gbps,5.677593e+12,0,1.753041e-13,0.0,BER (7.40e-13 / 1.3e-12) rng=[1.8e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
53,54,595,10.31 Gbps,10.31 Gbps,5.796388e+12,0,1.714339e-13,0.0,BER (7.29e-13 / 1.3e-12) rng=[1.8e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
54,55,609,10.31 Gbps,10.31 Gbps,5.933206e+12,0,1.674926e-13,0.0,BER (7.19e-13 / 1.3e-12) rng=[1.7e-13 - 8.9e-12])  ,72.0,PEAK (13=2805 / 85=3096)  VALEY (20),0,
55,56,622,10.31 Gbps,10.31 Gbps,6.073662e+12,0,1.638367e-13,0.0,BER (7.09e-13 / 1.3e-12) rng=[1.7e-13 - 8.9e-12])  ,72.0,PEAK (13=4111 / 85=4548)  VALEY (20),0,
56,57,636,10.31 Gbps,10.31 Gbps,6.209125e+12,0,1.602752e-13,0.0,BER (6.99e-13 / 1.3e-12) rng=[1.6e-13 - 8.9e-12])  ,72.0,PEAK (13=4111 / 85=4548)  VALEY (20),0,
57,58,648,10.31 Gbps,10.31 Gbps,6.339130e+12,0,1.568995e-13,0.0,BER (6.90e-13 / 1.3e-12) rng=[1.6e-13 - 8.9e-12])  ,72.0,PEAK (13=4111 / 85=4548)  VALEY (20),0,
58,59,661,10.31 Gbps,10.31 Gbps,6.473169e+12,0,1.536416e-13,0.0,BER (6.80e-13 / 1.3e-12) rng=[1.6e-13 - 8.9e-12])  ,72.0,PEAK (13=4111 / 85=4548)  VALEY (20),0,
