,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,49,26.555 Gbps,26.543 Gbps,2.319214e+11,0,3.228811e-12,0.0,  ,0.0,,0,
1,2,59,26.555 Gbps,26.555 Gbps,5.724675e+11,0,1.566585e-12,0.0,BER (3.23e-12 / nan) rng=[3.2e-12 - 3.2e-12])  ,63.0,PEAK (18=1002 / 81=1002)  VALEY (28),0,
2,3,71,26.555 Gbps,26.543 Gbps,9.105730e+11,0,1.017181e-12,0.0,BER (2.40e-12 / 1.2e-12) rng=[1.6e-12 - 3.2e-12])  ,63.0,PEAK (18=1002 / 81=1002)  VALEY (28),0,
3,4,84,26.555 Gbps,26.555 Gbps,1.248427e+12,0,7.568045e-13,0.0,BER (1.94e-12 / 1.2e-12) rng=[1.0e-12 - 3.2e-12])  ,63.0,PEAK (18=1002 / 81=1002)  VALEY (28),0,
4,5,97,26.555 Gbps,26.555 Gbps,1.573383e+12,0,6.023537e-13,0.0,BER (1.64e-12 / 1.1e-12) rng=[7.6e-13 - 3.2e-12])  ,63.0,PEAK (18=1002 / 81=1002)  VALEY (28),0,
5,6,109,26.543 Gbps,26.543 Gbps,1.898730e+12,0,5.043373e-13,0.0,BER (1.43e-12 / 1.1e-12) rng=[6.0e-13 - 3.2e-12])  ,63.0,PEAK (18=1002 / 81=1002)  VALEY (28),0,
6,7,121,26.543 Gbps,26.543 Gbps,2.243175e+12,0,4.30838e-13,0.0,BER (1.28e-12 / 1.0e-12) rng=[5.0e-13 - 3.2e-12])  ,63.0,PEAK (18=1002 / 81=1002)  VALEY (28),0,
7,8,134,26.543 Gbps,26.543 Gbps,2.581058e+12,0,3.75662e-13,0.0,BER (1.16e-12 / 9.9e-13) rng=[4.3e-13 - 3.2e-12])  ,63.0,PEAK (18=1002 / 81=1002)  VALEY (28),0,
8,9,146,26.555 Gbps,26.555 Gbps,2.844113e+12,0,3.435858e-13,0.0,BER (1.06e-12 / 9.6e-13) rng=[3.8e-13 - 3.2e-12])  ,63.0,PEAK (18=1002 / 81=1002)  VALEY (28),0,
9,10,155,26.555 Gbps,26.555 Gbps,3.095797e+12,0,3.162851e-13,0.0,BER (9.81e-13 / 9.3e-13) rng=[3.4e-13 - 3.2e-12])  ,63.0,PEAK (18=1002 / 81=1002)  VALEY (28),0,
10,11,165,26.555 Gbps,26.555 Gbps,3.342711e+12,0,2.93371e-13,0.0,BER (9.14e-13 / 9.0e-13) rng=[3.2e-13 - 3.2e-12])  ,63.0,PEAK (18=1002 / 81=1002)  VALEY (28),0,
11,12,174,26.555 Gbps,26.555 Gbps,3.589593e+12,0,2.73511e-13,0.0,BER (8.58e-13 / 8.7e-13) rng=[2.9e-13 - 3.2e-12])  ,63.0,PEAK (18=1002 / 81=1002)  VALEY (28),0,
12,13,184,26.555 Gbps,26.555 Gbps,3.840707e+12,0,2.557062e-13,0.0,BER (8.09e-13 / 8.5e-13) rng=[2.7e-13 - 3.2e-12])  ,63.0,PEAK (18=1002 / 81=1002)  VALEY (28),0,
13,14,193,26.555 Gbps,26.555 Gbps,4.103326e+12,0,2.398272e-13,0.0,BER (7.67e-13 / 8.3e-13) rng=[2.6e-13 - 3.2e-12])  ,63.0,PEAK (18=1002 / 81=1002)  VALEY (28),0,
14,15,203,26.555 Gbps,26.555 Gbps,4.349664e+12,0,2.264547e-13,0.0,BER (7.29e-13 / 8.1e-13) rng=[2.4e-13 - 3.2e-12])  ,63.0,PEAK (18=1002 / 81=1002)  VALEY (28),0,
15,16,212,26.555 Gbps,26.555 Gbps,4.606605e+12,0,2.139929e-13,0.0,BER (6.95e-13 / 7.9e-13) rng=[2.3e-13 - 3.2e-12])  ,63.0,PEAK (18=1002 / 81=1002)  VALEY (28),0,
16,17,222,26.543 Gbps,26.555 Gbps,4.869341e+12,0,2.026098e-13,0.0,BER (6.65e-13 / 7.7e-13) rng=[2.1e-13 - 3.2e-12])  ,63.0,PEAK (18=1002 / 81=1002)  VALEY (28),0,
