,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,46,53.109 Gbps,53.109 Gbps,4.540603e+11,1,1.692614e-12,0.0,  ,0.0,,0.0,
1,2,57,53.121 Gbps,53.121 Gbps,1.117706e+12,1,8.006735e-13,21.97000046246533,BER (1.69e-12 / nan) rng=[1.7e-12 - 1.7e-12])  SNR (22.0 /  0.5),0.0,,0.0,
2,3,68,53.109 Gbps,53.121 Gbps,1.798230e+12,1,5.178455e-13,21.97000046246533,BER (1.25e-12 / 6.3e-13) rng=[8.0e-13 - 1.7e-12])  SNR (22.0 /  0.5),15.0,PEAK (27=587 / 41=548 / 58=566 / 72=587)  VALEY (32=0 / 46=0 / 62=0),8.037739683760311e-12,PER: (P1:(27.3 / 1.1 rng=[0.0 - 0.0]) P2:(42.2 / 1.1 rng=[0.0 - 0.0]) P3:(57.8 / 1.1 rng=[0.0 - 0.0]) P4:(72.6 / 1.0 rng=[0.0 - 0.0]) ERR:E12=1.9e-12 E21=1.7e-12 E23=1.3e-13 E32=1.6e-13 E34=3.2e-12 E43=8.6e-13)
3,4,80,53.109 Gbps,53.109 Gbps,2.423047e+12,1,3.890022e-13,21.97000046246533,BER (1.00e-12 / 6.1e-13) rng=[5.2e-13 - 1.7e-12])  SNR (22.0 /  0.5),15.0,PEAK (27=587 / 41=548 / 58=566 / 72=587)  VALEY (32=0 / 46=0 / 62=0),8.037739683760311e-12,PER: (P1:(27.3 / 1.1 rng=[0.0 - 0.0]) P2:(42.2 / 1.1 rng=[0.0 - 0.0]) P3:(57.8 / 1.1 rng=[0.0 - 0.0]) P4:(72.6 / 1.0 rng=[0.0 - 0.0]) ERR:E12=1.9e-12 E21=1.7e-12 E23=1.3e-13 E32=1.6e-13 E34=3.2e-12 E43=8.6e-13)
4,5,92,53.109 Gbps,53.109 Gbps,3.054392e+12,1,3.128389e-13,21.97000046246533,BER (8.50e-13 / 5.9e-13) rng=[3.9e-13 - 1.7e-12])  SNR (22.0 /  0.5),15.0,PEAK (27=587 / 41=548 / 58=566 / 72=587)  VALEY (32=0 / 46=0 / 62=0),8.037739683760311e-12,PER: (P1:(27.3 / 1.1 rng=[0.0 - 0.0]) P2:(42.2 / 1.1 rng=[0.0 - 0.0]) P3:(57.8 / 1.1 rng=[0.0 - 0.0]) P4:(72.6 / 1.0 rng=[0.0 - 0.0]) ERR:E12=1.9e-12 E21=1.7e-12 E23=1.3e-13 E32=1.6e-13 E34=3.2e-12 E43=8.6e-13)
5,6,104,53.121 Gbps,53.121 Gbps,3.698447e+12,1,2.589575e-13,21.97000046246533,BER (7.43e-13 / 5.6e-13) rng=[3.1e-13 - 1.7e-12])  SNR (22.0 /  0.5),15.0,PEAK (27=587 / 41=548 / 58=566 / 72=587)  VALEY (32=0 / 46=0 / 62=0),8.037739683760311e-12,PER: (P1:(27.3 / 1.1 rng=[0.0 - 0.0]) P2:(42.2 / 1.1 rng=[0.0 - 0.0]) P3:(57.8 / 1.1 rng=[0.0 - 0.0]) P4:(72.6 / 1.0 rng=[0.0 - 0.0]) ERR:E12=1.9e-12 E21=1.7e-12 E23=1.3e-13 E32=1.6e-13 E34=3.2e-12 E43=8.6e-13)
6,7,116,53.109 Gbps,53.109 Gbps,4.344761e+12,1,2.225068e-13,21.97000046246533,BER (6.62e-13 / 5.4e-13) rng=[2.6e-13 - 1.7e-12])  SNR (22.0 /  0.5),15.0,PEAK (27=587 / 41=548 / 58=566 / 72=587)  VALEY (32=0 / 46=0 / 62=0),8.037739683760311e-12,PER: (P1:(27.3 / 1.1 rng=[0.0 - 0.0]) P2:(42.2 / 1.1 rng=[0.0 - 0.0]) P3:(57.8 / 1.1 rng=[0.0 - 0.0]) P4:(72.6 / 1.0 rng=[0.0 - 0.0]) ERR:E12=1.9e-12 E21=1.7e-12 E23=1.3e-13 E32=1.6e-13 E34=3.2e-12 E43=8.6e-13)
7,8,128,53.109 Gbps,53.109 Gbps,5.014157e+12,1,1.937195e-13,21.97000046246533,BER (5.99e-13 / 5.2e-13) rng=[2.2e-13 - 1.7e-12])  SNR (22.0 /  0.5),15.0,PEAK (27=587 / 41=548 / 58=566 / 72=587)  VALEY (32=0 / 46=0 / 62=0),8.037739683760311e-12,PER: (P1:(27.3 / 1.1 rng=[0.0 - 0.0]) P2:(42.2 / 1.1 rng=[0.0 - 0.0]) P3:(57.8 / 1.1 rng=[0.0 - 0.0]) P4:(72.6 / 1.0 rng=[0.0 - 0.0]) ERR:E12=1.9e-12 E21=1.7e-12 E23=1.3e-13 E32=1.6e-13 E34=3.2e-12 E43=8.6e-13)
8,9,141,53.121 Gbps,53.121 Gbps,5.546156e+12,1,1.760745e-13,21.97000046246533,BER (5.49e-13 / 5.0e-13) rng=[1.9e-13 - 1.7e-12])  SNR (22.0 /  0.5),15.0,PEAK (27=587 / 41=548 / 58=566 / 72=587)  VALEY (32=0 / 46=0 / 62=0),8.037739683760311e-12,PER: (P1:(27.3 / 1.1 rng=[0.0 - 0.0]) P2:(42.2 / 1.1 rng=[0.0 - 0.0]) P3:(57.8 / 1.1 rng=[0.0 - 0.0]) P4:(72.6 / 1.0 rng=[0.0 - 0.0]) ERR:E12=1.9e-12 E21=1.7e-12 E23=1.3e-13 E32=1.6e-13 E34=3.2e-12 E43=8.6e-13)
9,10,150,53.109 Gbps,53.121 Gbps,6.029772e+12,1,1.622998e-13,21.97000046246533,BER (5.07e-13 / 4.9e-13) rng=[1.8e-13 - 1.7e-12])  SNR (22.0 /  0.5),15.0,PEAK (27=587 / 41=548 / 58=566 / 72=587)  VALEY (32=0 / 46=0 / 62=0),8.037739683760311e-12,PER: (P1:(27.3 / 1.1 rng=[0.0 - 0.0]) P2:(42.2 / 1.1 rng=[0.0 - 0.0]) P3:(57.8 / 1.1 rng=[0.0 - 0.0]) P4:(72.6 / 1.0 rng=[0.0 - 0.0]) ERR:E12=1.9e-12 E21=1.7e-12 E23=1.3e-13 E32=1.6e-13 E34=3.2e-12 E43=8.6e-13)
