,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,45,25.77 Gbps,25.77 Gbps,2.335354e+11,0,3.385827e-12,0.0,  ,0.0,,0,
1,2,55,25.77 Gbps,25.77 Gbps,5.472680e+11,0,1.622166e-12,0.0,BER (3.39e-12 / nan) rng=[3.4e-12 - 3.4e-12])  ,0.0,,0,
2,3,68,25.77 Gbps,25.77 Gbps,8.753304e+11,0,1.056649e-12,0.0,BER (2.50e-12 / 1.2e-12) rng=[1.6e-12 - 3.4e-12])  ,71.0,PEAK (14=1222 / 85=1232)  VALEY (24),0,
3,4,80,25.77 Gbps,25.77 Gbps,1.191393e+12,0,7.929201e-13,0.0,BER (2.02e-12 / 1.2e-12) rng=[1.1e-12 - 3.4e-12])  ,71.0,PEAK (14=1222 / 85=1232)  VALEY (24),0,
4,5,92,25.77 Gbps,25.77 Gbps,1.508491e+12,0,6.263476e-13,0.0,BER (1.71e-12 / 1.2e-12) rng=[7.9e-13 - 3.4e-12])  ,71.0,PEAK (14=1222 / 85=1232)  VALEY (24),0,
5,6,105,25.77 Gbps,25.77 Gbps,1.822904e+12,0,5.245631e-13,0.0,BER (1.50e-12 / 1.1e-12) rng=[6.3e-13 - 3.4e-12])  ,71.0,PEAK (14=1222 / 85=1232)  VALEY (24),0,
6,7,117,25.77 Gbps,25.77 Gbps,2.145897e+12,0,4.47891e-13,0.0,BER (1.33e-12 / 1.1e-12) rng=[5.2e-13 - 3.4e-12])  ,71.0,PEAK (14=1222 / 85=1232)  VALEY (24),0,
7,8,130,25.77 Gbps,25.77 Gbps,2.473643e+12,0,3.907954e-13,0.0,BER (1.21e-12 / 1.0e-12) rng=[4.5e-13 - 3.4e-12])  ,71.0,PEAK (14=1222 / 85=1232)  VALEY (24),0,
8,9,142,25.77 Gbps,25.77 Gbps,2.747608e+12,0,3.555976e-13,0.0,BER (1.11e-12 / 1.0e-12) rng=[3.9e-13 - 3.4e-12])  ,71.0,PEAK (14=1222 / 85=1232)  VALEY (24),0,
9,10,151,25.77 Gbps,25.77 Gbps,2.992996e+12,0,3.270935e-13,0.0,BER (1.02e-12 / 9.7e-13) rng=[3.6e-13 - 3.4e-12])  ,71.0,PEAK (14=1222 / 85=1232)  VALEY (24),0,
