,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR
0,1,25,53.109 Gbps,53.109 Gbps,6.411589e+11,0.00000e+00,1.54310e-12,0.00000
1,2,38,53.109 Gbps,53.121 Gbps,1.323705e+12,0.00000e+00,7.49902e-13,0.00000
2,3,66,53.121 Gbps,53.109 Gbps,2.839173e+12,0.00000e+00,3.50202e-13,23.33600
3,4,80,53.109 Gbps,53.121 Gbps,3.554646e+12,0.00000e+00,2.79883e-13,22.19079
4,5,94,53.109 Gbps,53.109 Gbps,4.297176e+12,0.00000e+00,2.31683e-13,22.12743
5,6,107,53.109 Gbps,53.121 Gbps,5.026139e+12,0.00000e+00,1.98468e-13,22.18817
6,7,121,53.109 Gbps,53.121 Gbps,5.741356e+12,0.00000e+00,1.73775e-13,22.84978
7,8,134,53.121 Gbps,53.121 Gbps,6.475948e+12,0.00000e+00,1.54072e-13,22.92671
8,9,148,53.109 Gbps,53.109 Gbps,7.208191e+12,0.00000e+00,1.38437e-13,22.29516
9,10,162,53.109 Gbps,53.121 Gbps,7.940936e+12,0.00000e+00,1.25737e-13,22.54916
10,11,176,53.109 Gbps,53.109 Gbps,8.679173e+12,0.00000e+00,1.14960e-13,23.62025
11,12,191,53.109 Gbps,53.109 Gbps,9.465411e+12,0.00000e+00,1.05496e-13,22.93225
12,13,205,53.121 Gbps,53.109 Gbps,1.023027e+13,0.00000e+00,9.76102e-14,22.76521
13,14,220,53.109 Gbps,53.109 Gbps,1.101390e+13,0.00000e+00,9.06851e-14,21.86807
14,15,236,53.109 Gbps,53.121 Gbps,1.184112e+13,0.00000e+00,8.43595e-14,22.57518
15,16,250,53.121 Gbps,53.109 Gbps,1.259824e+13,0.00000e+00,7.92586e-14,22.33349
16,17,265,53.109 Gbps,53.109 Gbps,1.338449e+13,0.00000e+00,7.46378e-14,22.48915
17,18,279,53.109 Gbps,53.109 Gbps,1.416614e+13,0.00000e+00,7.05260e-14,22.82680
18,19,294,53.109 Gbps,53.109 Gbps,1.494215e+13,0.00000e+00,6.68740e-14,22.11891
19,20,308,53.109 Gbps,53.109 Gbps,1.570233e+13,0.00000e+00,6.36318e-14,23.22989
20,21,323,53.109 Gbps,53.121 Gbps,1.649866e+13,0.00000e+00,6.05616e-14,21.42805
21,22,338,53.109 Gbps,53.121 Gbps,1.725818e+13,0.00000e+00,5.78899e-14,22.06985
22,23,352,53.121 Gbps,53.109 Gbps,1.803184e+13,0.00000e+00,5.54162e-14,22.60184
23,24,367,53.109 Gbps,53.109 Gbps,1.884253e+13,0.00000e+00,5.30220e-14,22.77070
24,25,382,53.109 Gbps,53.109 Gbps,1.961074e+13,0.00000e+00,5.09491e-14,22.71954
25,26,397,53.109 Gbps,53.109 Gbps,2.039861e+13,0.00000e+00,4.89826e-14,22.12575
26,27,411,53.109 Gbps,53.109 Gbps,2.116259e+13,0.00000e+00,4.72183e-14,21.86018
27,28,426,53.121 Gbps,53.109 Gbps,2.193851e+13,0.00000e+00,4.55519e-14,21.77434
28,29,440,53.109 Gbps,53.121 Gbps,2.271840e+13,0.00000e+00,4.39917e-14,23.29892
29,30,455,53.121 Gbps,53.121 Gbps,2.352590e+13,0.00000e+00,4.24789e-14,23.71642
30,31,471,53.109 Gbps,53.109 Gbps,2.433753e+13,0.00000e+00,4.10651e-14,22.39466
31,32,486,53.109 Gbps,53.109 Gbps,2.515045e+13,0.00000e+00,3.97396e-14,23.49711
32,33,501,53.109 Gbps,53.109 Gbps,2.596700e+13,0.00000e+00,3.84893e-14,22.66514
33,34,517,53.121 Gbps,53.109 Gbps,2.679139e+13,0.00000e+00,3.73030e-14,22.88054
34,35,532,53.121 Gbps,53.109 Gbps,2.758668e+13,0.00000e+00,3.62336e-14,23.61958
35,36,547,53.121 Gbps,53.109 Gbps,2.839830e+13,0.00000e+00,3.51959e-14,23.05843
36,37,562,53.109 Gbps,53.109 Gbps,2.920133e+13,0.00000e+00,3.42258e-14,22.64600
37,38,577,53.109 Gbps,53.109 Gbps,3.000540e+13,0.00000e+00,3.33101e-14,22.72793
38,39,593,53.121 Gbps,53.109 Gbps,3.084017e+13,0.00000e+00,3.24129e-14,21.83755
39,40,608,53.109 Gbps,53.109 Gbps,3.164190e+13,0.00000e+00,3.15898e-14,23.47235
40,41,623,53.109 Gbps,53.109 Gbps,3.242715e+13,0.00000e+00,3.08275e-14,22.87963
41,42,638,53.109 Gbps,53.121 Gbps,3.323177e+13,0.00000e+00,3.00771e-14,22.75909
42,43,654,53.109 Gbps,53.121 Gbps,3.406511e+13,0.00000e+00,2.93420e-14,22.09996
43,44,669,53.109 Gbps,53.109 Gbps,3.486750e+13,0.00000e+00,2.86679e-14,23.28489
44,45,685,53.109 Gbps,53.109 Gbps,3.570802e+13,0.00000e+00,2.79895e-14,22.86670
45,46,700,53.109 Gbps,53.109 Gbps,3.654175e+13,0.00000e+00,2.73566e-14,22.42762
46,47,716,53.121 Gbps,53.109 Gbps,3.736144e+13,0.00000e+00,2.67544e-14,22.87155
47,48,731,53.121 Gbps,53.121 Gbps,3.818739e+13,0.00000e+00,2.61772e-14,23.69364
48,49,747,53.121 Gbps,53.121 Gbps,3.903240e+13,0.00000e+00,2.56102e-14,22.55661
49,50,763,53.109 Gbps,53.109 Gbps,3.986360e+13,0.00000e+00,2.50760e-14,23.65997
50,51,779,53.109 Gbps,53.109 Gbps,4.068438e+13,0.00000e+00,2.45686e-14,23.44821
51,52,794,53.121 Gbps,53.109 Gbps,4.152077e+13,0.00000e+00,2.40758e-14,23.36086
52,53,810,53.109 Gbps,53.109 Gbps,4.235711e+13,0.00000e+00,2.36002e-14,22.41503
53,54,826,53.121 Gbps,53.121 Gbps,4.320134e+13,0.00000e+00,2.31404e-14,22.97398
54,55,842,53.121 Gbps,53.109 Gbps,4.405421e+13,0.00000e+00,2.26925e-14,22.73181
55,56,857,53.109 Gbps,53.121 Gbps,4.486774e+13,0.00000e+00,2.22801e-14,23.18346
56,57,874,53.121 Gbps,53.121 Gbps,4.573899e+13,0.00000e+00,2.18571e-14,22.94135
57,58,890,53.109 Gbps,53.121 Gbps,4.662718e+13,0.00000e+00,2.14404e-14,22.99709
58,59,907,53.121 Gbps,53.109 Gbps,4.752955e+13,0.00000e+00,2.10332e-14,22.43337
59,60,924,53.109 Gbps,53.121 Gbps,4.844160e+13,0.00000e+00,2.06363e-14,23.12365
60,61,941,53.121 Gbps,53.121 Gbps,4.933503e+13,0.00000e+00,2.02635e-14,24.21697
61,62,959,53.109 Gbps,53.109 Gbps,5.026049e+13,0.00000e+00,1.98904e-14,22.18728
62,63,976,53.121 Gbps,53.109 Gbps,5.116135e+13,0.00000e+00,1.95412e-14,23.28672
63,64,992,53.121 Gbps,53.109 Gbps,5.203244e+13,0.00000e+00,1.92133e-14,22.98722
64,65,1009,53.109 Gbps,53.121 Gbps,5.294147e+13,0.00000e+00,1.88840e-14,23.53627
65,66,1026,53.109 Gbps,53.109 Gbps,5.381117e+13,0.00000e+00,1.85783e-14,22.78950
66,67,1043,53.109 Gbps,53.109 Gbps,5.471238e+13,0.00000e+00,1.82735e-14,22.33177
67,68,1059,53.109 Gbps,53.109 Gbps,5.558893e+13,0.00000e+00,1.79849e-14,22.31367
68,69,1075,53.121 Gbps,53.121 Gbps,5.646723e+13,0.00000e+00,1.77052e-14,21.66500
69,70,1092,53.121 Gbps,53.121 Gbps,5.735652e+13,0.00000e+00,1.74297e-14,22.10544
70,71,1109,53.109 Gbps,53.109 Gbps,5.823962e+13,0.00000e+00,1.71652e-14,22.25955
71,72,1126,53.109 Gbps,53.121 Gbps,5.912929e+13,0.00000e+00,1.69082e-14,23.14384
72,73,1142,53.109 Gbps,53.121 Gbps,6.001211e+13,0.00000e+00,1.66586e-14,23.54464
73,74,1159,53.109 Gbps,53.109 Gbps,6.091800e+13,0.00000e+00,1.64106e-14,22.04773
74,75,1176,53.109 Gbps,53.121 Gbps,6.178961e+13,0.00000e+00,1.61806e-14,22.54221
75,76,1192,53.109 Gbps,53.121 Gbps,6.267032e+13,0.00000e+00,1.59528e-14,22.54235
76,77,1209,53.121 Gbps,53.109 Gbps,6.355327e+13,0.00000e+00,1.57313e-14,21.34175
77,78,1226,53.109 Gbps,53.109 Gbps,6.446464e+13,0.00000e+00,1.55076e-14,22.98436
78,79,1243,53.109 Gbps,53.121 Gbps,6.537865e+13,0.00000e+00,1.52926e-14,22.35949
79,80,1260,53.121 Gbps,53.121 Gbps,6.628891e+13,0.00000e+00,1.50824e-14,22.75803
80,81,1277,53.109 Gbps,53.109 Gbps,6.718473e+13,0.00000e+00,1.48817e-14,23.26637
81,82,1294,53.109 Gbps,53.109 Gbps,6.808081e+13,0.00000e+00,1.46857e-14,23.19079
82,83,1311,53.109 Gbps,53.109 Gbps,6.898965e+13,0.00000e+00,1.44904e-14,23.25330
83,84,1329,53.109 Gbps,53.121 Gbps,6.992553e+13,0.00000e+00,1.42984e-14,22.70871
84,85,1346,53.121 Gbps,53.121 Gbps,7.082916e+13,0.00000e+00,1.41159e-14,22.11373
85,86,1363,53.109 Gbps,53.121 Gbps,7.174765e+13,0.00000e+00,1.39351e-14,24.05355
86,87,1381,53.121 Gbps,53.121 Gbps,7.267529e+13,0.00000e+00,1.37562e-14,22.11337
87,88,1398,53.109 Gbps,53.121 Gbps,7.361167e+13,0.00000e+00,1.35822e-14,22.86568
88,89,1416,53.109 Gbps,53.121 Gbps,7.458054e+13,0.00000e+00,1.34051e-14,22.18494
89,90,1434,53.121 Gbps,53.109 Gbps,7.552756e+13,0.00000e+00,1.32371e-14,22.77752
90,91,1452,53.109 Gbps,53.109 Gbps,7.647991e+13,0.00000e+00,1.30728e-14,21.67244
91,92,1470,53.109 Gbps,53.121 Gbps,7.741506e+13,0.00000e+00,1.29146e-14,22.81226
92,93,1487,53.109 Gbps,53.109 Gbps,7.832762e+13,0.00000e+00,1.27648e-14,23.04789
93,94,1504,53.109 Gbps,53.109 Gbps,7.925115e+13,0.00000e+00,1.26155e-14,23.48833
94,95,1522,53.109 Gbps,53.109 Gbps,8.019962e+13,0.00000e+00,1.24666e-14,23.50974
95,96,1540,53.121 Gbps,53.109 Gbps,8.112996e+13,0.00000e+00,1.23239e-14,22.08852
96,97,1557,53.121 Gbps,53.121 Gbps,8.205039e+13,0.00000e+00,1.21855e-14,22.09549
97,98,1574,53.109 Gbps,53.109 Gbps,8.297296e+13,0.00000e+00,1.20499e-14,21.84008
98,99,1592,53.109 Gbps,53.109 Gbps,8.390923e+13,1.00000e+00,1.19154e-14,23.58549
99,100,1611,53.109 Gbps,53.109 Gbps,8.493086e+13,1.00000e+00,1.17719e-14,22.88294
100,101,1631,53.109 Gbps,53.109 Gbps,8.599089e+13,1.00000e+00,1.16267e-14,22.68843
101,102,1652,53.121 Gbps,53.109 Gbps,8.707379e+13,1.00000e+00,1.14826e-14,22.61011
102,103,1672,53.109 Gbps,53.121 Gbps,8.813781e+13,1.00000e+00,1.13435e-14,22.80231
103,104,1692,53.121 Gbps,53.121 Gbps,8.920566e+13,1.00000e+00,1.12081e-14,23.08665
104,105,1712,53.109 Gbps,53.121 Gbps,9.027276e+13,1.00000e+00,1.10751e-14,22.12015
105,106,1731,53.121 Gbps,53.121 Gbps,9.126373e+13,1.00000e+00,1.09551e-14,22.98566
106,107,1749,53.109 Gbps,53.109 Gbps,9.227049e+13,1.00000e+00,1.08359e-14,22.21526
107,108,1768,53.109 Gbps,53.109 Gbps,9.324687e+13,1.00000e+00,1.07223e-14,21.95742
108,109,1786,53.109 Gbps,53.121 Gbps,9.424135e+13,1.00000e+00,1.06095e-14,23.82463
109,110,1805,53.109 Gbps,53.109 Gbps,9.522128e+13,1.00000e+00,1.04997e-14,22.25317
110,111,1824,53.109 Gbps,53.121 Gbps,9.624880e+13,1.00000e+00,1.03876e-14,23.72795
111,112,1843,53.109 Gbps,53.109 Gbps,9.726232e+13,1.00000e+00,1.02798e-14,23.65640
112,113,1862,53.109 Gbps,53.109 Gbps,9.824447e+13,1.00000e+00,1.01771e-14,23.03588
113,114,1880,53.121 Gbps,53.121 Gbps,9.918783e+13,1.00000e+00,1.00805e-14,22.63772
114,115,1898,53.109 Gbps,53.109 Gbps,1.001535e+14,1.00000e+00,9.98333e-15,21.25945
115,116,1916,53.109 Gbps,53.109 Gbps,1.011394e+14,1.00000e+00,9.88576e-15,23.29026
116,117,1935,53.121 Gbps,53.109 Gbps,1.021222e+14,1.00000e+00,9.79059e-15,22.85154
117,118,1953,53.121 Gbps,53.109 Gbps,1.031035e+14,1.00000e+00,9.69743e-15,22.14068
118,119,1972,53.109 Gbps,53.109 Gbps,1.040673e+14,1.00000e+00,9.60763e-15,22.79069
119,120,1990,53.109 Gbps,53.121 Gbps,1.050561e+14,1.00000e+00,9.51714e-15,22.65642
120,121,2009,53.109 Gbps,53.109 Gbps,1.060768e+14,1.00000e+00,9.42572e-15,23.35100
121,122,2028,53.121 Gbps,53.109 Gbps,1.070724e+14,1.00000e+00,9.33856e-15,23.13502
122,123,2047,53.109 Gbps,53.121 Gbps,1.080925e+14,1.00000e+00,9.25018e-15,23.33959
123,124,2066,53.109 Gbps,53.109 Gbps,1.090826e+14,1.00000e+00,9.16641e-15,22.09760
124,125,2085,53.121 Gbps,53.109 Gbps,1.100744e+14,1.00000e+00,9.08361e-15,22.69371
125,126,2103,53.109 Gbps,53.121 Gbps,1.110781e+14,1.00000e+00,9.00144e-15,22.84527
126,127,2123,53.121 Gbps,53.109 Gbps,1.121310e+14,1.00000e+00,8.91695e-15,23.52673
127,128,2144,53.121 Gbps,53.109 Gbps,1.132129e+14,1.00000e+00,8.83137e-15,22.21161
128,129,2165,53.121 Gbps,53.109 Gbps,1.143330e+14,1.00000e+00,8.74551e-15,23.82574
129,130,2186,53.109 Gbps,53.109 Gbps,1.154358e+14,1.00000e+00,8.66180e-15,23.37271
130,131,2207,53.121 Gbps,53.121 Gbps,1.165618e+14,1.00000e+00,8.57805e-15,23.88980
131,132,2229,53.109 Gbps,53.109 Gbps,1.177254e+14,1.00000e+00,8.49331e-15,22.39624
132,133,2250,53.109 Gbps,53.121 Gbps,1.188636e+14,1.00000e+00,8.41154e-15,22.77446
133,134,2271,53.121 Gbps,53.109 Gbps,1.200007e+14,1.00000e+00,8.33207e-15,23.80593
134,135,2292,53.109 Gbps,53.109 Gbps,1.211088e+14,1.00000e+00,8.25625e-15,22.79456
135,136,2314,53.109 Gbps,53.109 Gbps,1.222670e+14,1.00000e+00,8.17800e-15,22.65670
136,137,2335,53.121 Gbps,53.109 Gbps,1.234006e+14,1.00000e+00,8.10265e-15,22.09576
137,138,2358,53.109 Gbps,53.121 Gbps,1.245723e+14,1.00000e+00,8.02662e-15,23.38959
138,139,2379,53.109 Gbps,53.109 Gbps,1.257323e+14,1.00000e+00,7.95246e-15,23.19203
139,140,2401,53.109 Gbps,53.109 Gbps,1.268947e+14,1.00000e+00,7.87936e-15,23.10820
140,141,2423,53.121 Gbps,53.121 Gbps,1.280430e+14,1.00000e+00,7.80908e-15,22.45927
141,142,2445,53.121 Gbps,53.121 Gbps,1.292101e+14,1.00000e+00,7.73861e-15,22.86218
142,143,2465,53.121 Gbps,53.109 Gbps,1.302902e+14,1.00000e+00,7.67431e-15,22.71029
143,144,2485,53.109 Gbps,53.109 Gbps,1.313408e+14,1.00000e+00,7.61295e-15,22.36710
144,145,2505,53.121 Gbps,53.109 Gbps,1.324026e+14,1.00000e+00,7.55183e-15,23.30313
145,146,2525,53.121 Gbps,53.109 Gbps,1.334604e+14,1.00000e+00,7.49196e-15,22.09947
146,147,2544,53.109 Gbps,53.109 Gbps,1.345026e+14,1.00000e+00,7.43385e-15,22.13212
147,148,2565,53.121 Gbps,53.109 Gbps,1.355707e+14,1.00000e+00,7.37534e-15,21.88280
148,149,2585,53.109 Gbps,53.109 Gbps,1.366561e+14,1.00000e+00,7.31680e-15,22.71418
149,150,2605,53.121 Gbps,53.121 Gbps,1.377030e+14,1.00000e+00,7.26105e-15,23.11582
150,151,2626,53.109 Gbps,53.121 Gbps,1.388171e+14,1.00000e+00,7.20300e-15,22.56945
151,152,2645,53.109 Gbps,53.109 Gbps,1.398664e+14,1.00000e+00,7.14901e-15,21.95477
152,153,2666,53.121 Gbps,53.109 Gbps,1.409478e+14,1.00000e+00,7.09418e-15,22.80322
153,154,2686,53.121 Gbps,53.109 Gbps,1.420216e+14,1.00000e+00,7.04042e-15,22.67528
154,155,2707,53.109 Gbps,53.109 Gbps,1.431486e+14,1.00000e+00,6.98510e-15,22.66812
155,156,2728,53.109 Gbps,53.109 Gbps,1.442590e+14,1.00000e+00,6.93107e-15,22.87001
156,157,2749,53.121 Gbps,53.109 Gbps,1.453520e+14,1.00000e+00,6.87920e-15,22.58804
157,158,2770,53.121 Gbps,53.109 Gbps,1.464683e+14,1.00000e+00,6.82672e-15,21.50521
158,159,2790,53.121 Gbps,53.121 Gbps,1.475584e+14,1.00000e+00,6.77630e-15,22.37346
159,160,2811,53.109 Gbps,53.109 Gbps,1.486458e+14,1.00000e+00,6.72657e-15,22.51535
160,161,2831,53.121 Gbps,53.121 Gbps,1.497252e+14,1.00000e+00,6.67823e-15,22.84198
161,162,2852,53.121 Gbps,53.121 Gbps,1.508502e+14,1.00000e+00,6.62838e-15,22.86359
162,163,2873,53.121 Gbps,53.109 Gbps,1.519519e+14,1.00000e+00,6.58041e-15,22.50559
163,164,2894,53.109 Gbps,53.121 Gbps,1.530565e+14,1.00000e+00,6.53266e-15,21.76763
164,165,2915,53.109 Gbps,53.121 Gbps,1.541736e+14,1.00000e+00,6.48564e-15,22.30222
165,166,2936,53.109 Gbps,53.121 Gbps,1.552959e+14,1.00000e+00,6.43873e-15,22.82038
166,167,2957,53.121 Gbps,53.121 Gbps,1.564082e+14,1.00000e+00,6.39269e-15,23.69546
167,168,2977,53.109 Gbps,53.121 Gbps,1.575051e+14,1.00000e+00,6.34849e-15,21.65695
168,169,2998,53.109 Gbps,53.109 Gbps,1.586174e+14,1.00000e+00,6.30396e-15,23.54168
169,170,3020,53.109 Gbps,53.121 Gbps,1.597864e+14,1.00000e+00,6.25781e-15,21.43428
170,171,3041,53.109 Gbps,53.109 Gbps,1.609079e+14,1.00000e+00,6.21419e-15,22.64139
171,172,3063,53.121 Gbps,53.109 Gbps,1.620416e+14,1.00000e+00,6.17054e-15,23.65154
172,173,3084,53.121 Gbps,53.121 Gbps,1.631672e+14,1.00000e+00,6.12820e-15,22.63989
173,174,3105,53.109 Gbps,53.121 Gbps,1.642845e+14,1.00000e+00,6.08637e-15,21.82817
174,175,3127,53.109 Gbps,53.109 Gbps,1.654383e+14,1.00000e+00,6.04411e-15,23.04304
175,176,3147,53.109 Gbps,53.109 Gbps,1.665109e+14,1.00000e+00,6.00505e-15,22.47255
176,177,3169,53.109 Gbps,53.121 Gbps,1.676636e+14,1.00000e+00,5.96366e-15,22.33023
177,178,3190,53.109 Gbps,53.109 Gbps,1.688241e+14,1.00000e+00,5.92284e-15,22.37044
178,179,3212,53.109 Gbps,53.109 Gbps,1.699494e+14,1.00000e+00,5.88353e-15,22.57593
179,180,3233,53.109 Gbps,53.109 Gbps,1.710819e+14,1.00000e+00,5.84446e-15,23.12734
180,181,3254,53.121 Gbps,53.121 Gbps,1.722266e+14,1.00000e+00,5.80583e-15,22.09089
181,182,3276,53.109 Gbps,53.109 Gbps,1.733529e+14,1.00000e+00,5.76814e-15,23.60836
182,183,3297,53.109 Gbps,53.109 Gbps,1.744965e+14,1.00000e+00,5.73013e-15,22.22198
183,184,3319,53.109 Gbps,53.121 Gbps,1.756798e+14,1.00000e+00,5.69171e-15,22.23267
184,185,3341,53.109 Gbps,53.109 Gbps,1.768262e+14,1.00000e+00,5.65468e-15,22.96961
185,186,3363,53.109 Gbps,53.121 Gbps,1.779808e+14,1.00000e+00,5.61798e-15,24.61542
186,187,3385,53.121 Gbps,53.109 Gbps,1.791451e+14,1.00000e+00,5.58163e-15,22.81943
187,188,3406,53.109 Gbps,53.109 Gbps,1.802832e+14,1.00000e+00,5.54635e-15,22.93463
188,189,3427,53.109 Gbps,53.121 Gbps,1.814034e+14,1.00000e+00,5.51224e-15,23.19095
189,190,3449,53.109 Gbps,53.121 Gbps,1.825494e+14,1.00000e+00,5.47759e-15,23.54280
190,191,3471,53.109 Gbps,53.109 Gbps,1.837287e+14,1.00000e+00,5.44231e-15,22.86110
191,192,3493,53.109 Gbps,53.109 Gbps,1.848943e+14,1.00000e+00,5.40809e-15,23.73575
192,193,3515,53.109 Gbps,53.109 Gbps,1.860800e+14,1.00000e+00,5.37356e-15,23.48853
193,194,3538,53.109 Gbps,53.109 Gbps,1.872645e+14,1.00000e+00,5.33967e-15,23.28373
194,195,3560,53.109 Gbps,53.109 Gbps,1.884510e+14,1.00000e+00,5.30601e-15,22.05541
195,196,3582,53.109 Gbps,53.109 Gbps,1.896337e+14,1.00000e+00,5.27298e-15,22.23749
196,197,3605,53.109 Gbps,53.109 Gbps,1.908572e+14,1.00000e+00,5.23916e-15,21.57498
197,198,3628,53.121 Gbps,53.109 Gbps,1.920475e+14,1.00000e+00,5.20669e-15,21.89276
198,199,3651,53.121 Gbps,53.121 Gbps,1.932630e+14,1.00000e+00,5.17388e-15,22.77248
199,200,3676,53.121 Gbps,53.109 Gbps,1.946437e+14,1.00000e+00,5.13710e-15,21.85416
200,201,3703,53.109 Gbps,53.109 Gbps,1.960462e+14,1.00000e+00,5.10048e-15,24.28396
201,202,3729,53.109 Gbps,53.109 Gbps,1.974500e+14,1.00000e+00,5.06426e-15,22.48224
202,203,3756,53.109 Gbps,53.121 Gbps,1.988538e+14,1.00000e+00,5.02850e-15,23.75360
203,204,3781,53.109 Gbps,53.121 Gbps,2.001929e+14,1.00000e+00,4.99470e-15,22.47304
204,205,3805,53.109 Gbps,53.109 Gbps,2.014642e+14,1.00000e+00,4.96332e-15,23.72977
205,206,3828,53.109 Gbps,53.109 Gbps,2.026925e+14,1.00000e+00,4.93326e-15,23.99034
206,207,3851,53.109 Gbps,53.109 Gbps,2.039113e+14,1.00000e+00,4.90376e-15,22.36829
207,208,3875,53.109 Gbps,53.109 Gbps,2.051810e+14,1.00000e+00,4.87343e-15,24.05737
208,209,3898,53.121 Gbps,53.109 Gbps,2.064061e+14,1.00000e+00,4.84449e-15,23.70682
209,210,3921,53.121 Gbps,53.109 Gbps,2.076299e+14,1.00000e+00,4.81592e-15,21.71483
210,211,3946,53.121 Gbps,53.121 Gbps,2.089878e+14,1.00000e+00,4.78466e-15,23.29740
211,212,3974,53.109 Gbps,53.109 Gbps,2.104333e+14,1.00000e+00,4.75176e-15,22.73507
212,213,4000,53.109 Gbps,53.121 Gbps,2.118344e+14,1.00000e+00,4.72027e-15,22.60896
213,214,4027,53.109 Gbps,53.109 Gbps,2.132752e+14,1.00000e+00,4.68847e-15,22.13046
214,215,4054,53.109 Gbps,53.109 Gbps,2.147053e+14,1.00000e+00,4.65724e-15,23.10552
215,216,4081,53.109 Gbps,53.109 Gbps,2.161551e+14,1.00000e+00,4.62599e-15,21.64571
216,217,4106,53.109 Gbps,53.109 Gbps,2.174380e+14,1.00000e+00,4.59870e-15,22.01568
217,218,4129,53.121 Gbps,53.109 Gbps,2.186852e+14,1.00000e+00,4.57251e-15,23.06554
218,219,4154,53.109 Gbps,53.109 Gbps,2.199974e+14,1.00000e+00,4.54523e-15,22.08382
219,220,4179,53.109 Gbps,53.109 Gbps,2.213193e+14,1.00000e+00,4.51806e-15,22.39428
220,221,4203,53.121 Gbps,53.121 Gbps,2.226353e+14,1.00000e+00,4.49139e-15,23.72831
221,222,4230,53.121 Gbps,53.109 Gbps,2.240648e+14,1.00000e+00,4.46274e-15,21.91653
222,223,4256,53.109 Gbps,53.109 Gbps,2.254446e+14,1.00000e+00,4.43526e-15,22.04897
223,224,4283,53.109 Gbps,53.109 Gbps,2.268605e+14,1.00000e+00,4.40772e-15,23.71164
224,225,4309,53.109 Gbps,53.121 Gbps,2.282672e+14,1.00000e+00,4.38054e-15,21.26850
225,226,4336,53.121 Gbps,53.109 Gbps,2.296751e+14,1.00000e+00,4.35363e-15,21.94520
226,227,4362,53.121 Gbps,53.121 Gbps,2.310863e+14,1.00000e+00,4.32718e-15,22.92974
227,228,4390,53.121 Gbps,53.109 Gbps,2.325367e+14,1.00000e+00,4.30016e-15,22.73721
228,229,4417,53.121 Gbps,53.109 Gbps,2.339723e+14,1.00000e+00,4.27375e-15,23.01636
229,230,4444,53.121 Gbps,53.109 Gbps,2.354043e+14,1.00000e+00,4.24778e-15,22.28567
230,231,4471,53.121 Gbps,53.109 Gbps,2.368320e+14,1.00000e+00,4.22219e-15,23.45938
231,232,4498,53.109 Gbps,53.109 Gbps,2.382861e+14,1.00000e+00,4.19641e-15,21.99750
232,233,4525,53.121 Gbps,53.121 Gbps,2.397354e+14,1.00000e+00,4.17105e-15,21.51432
233,234,4552,53.109 Gbps,53.121 Gbps,2.411768e+14,1.00000e+00,4.14605e-15,22.30065
234,235,4580,53.109 Gbps,53.121 Gbps,2.426189e+14,1.00000e+00,4.12148e-15,22.01168
235,236,4607,53.121 Gbps,53.121 Gbps,2.440824e+14,1.00000e+00,4.09673e-15,22.36883
