,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,66,26.555 Gbps,26.555 Gbps,2.325687e+11,0,3.331462e-12,0.0,  ,0.0,,0,
1,2,77,26.555 Gbps,26.543 Gbps,5.470487e+11,0,1.637489e-12,0.0,BER (3.33e-12 / nan) rng=[3.3e-12 - 3.3e-12])  ,0.0,,0,
2,3,88,26.555 Gbps,26.555 Gbps,8.630187e+11,0,1.071015e-12,0.0,BER (2.48e-12 / 1.2e-12) rng=[1.6e-12 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
3,4,99,26.555 Gbps,26.555 Gbps,1.176110e+12,0,7.982823e-13,0.0,BER (2.01e-12 / 1.2e-12) rng=[1.1e-12 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
4,5,111,26.555 Gbps,26.543 Gbps,1.487544e+12,0,6.380603e-13,0.0,BER (1.71e-12 / 1.1e-12) rng=[8.0e-13 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
5,6,124,26.555 Gbps,26.555 Gbps,1.809887e+12,0,5.293309e-13,0.0,BER (1.50e-12 / 1.1e-12) rng=[6.4e-13 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
6,7,135,26.555 Gbps,26.555 Gbps,2.105288e+12,0,4.579903e-13,0.0,BER (1.33e-12 / 1.1e-12) rng=[5.3e-13 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
7,8,147,26.543 Gbps,26.543 Gbps,2.417046e+12,0,4.007369e-13,0.0,BER (1.21e-12 / 1.0e-12) rng=[4.6e-13 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
8,9,158,26.555 Gbps,26.555 Gbps,2.679842e+12,0,3.641598e-13,0.0,BER (1.11e-12 / 9.9e-13) rng=[4.0e-13 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
9,10,166,26.543 Gbps,26.555 Gbps,2.911168e+12,0,3.367729e-13,0.0,BER (1.03e-12 / 9.5e-13) rng=[3.6e-13 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
10,11,175,26.555 Gbps,26.555 Gbps,3.134037e+12,0,3.138581e-13,0.0,BER (9.57e-13 / 9.3e-13) rng=[3.4e-13 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
11,12,183,26.543 Gbps,26.555 Gbps,3.362862e+12,0,2.921322e-13,0.0,BER (8.98e-13 / 9.0e-13) rng=[3.1e-13 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
12,13,192,26.555 Gbps,26.555 Gbps,3.590191e+12,0,2.732985e-13,0.0,BER (8.48e-13 / 8.8e-13) rng=[2.9e-13 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
13,14,201,26.555 Gbps,26.543 Gbps,3.832391e+12,0,2.574472e-13,0.0,BER (8.03e-13 / 8.5e-13) rng=[2.7e-13 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
14,15,209,26.555 Gbps,26.555 Gbps,4.067241e+12,0,2.421821e-13,0.0,BER (7.64e-13 / 8.3e-13) rng=[2.6e-13 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
15,16,218,26.555 Gbps,26.555 Gbps,4.284020e+12,0,2.2975e-13,0.0,BER (7.30e-13 / 8.1e-13) rng=[2.4e-13 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
16,17,227,26.543 Gbps,26.555 Gbps,4.530169e+12,0,2.181341e-13,0.0,BER (6.98e-13 / 8.0e-13) rng=[2.3e-13 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
17,18,236,26.555 Gbps,26.555 Gbps,4.759598e+12,0,2.072305e-13,0.0,BER (6.70e-13 / 7.8e-13) rng=[2.2e-13 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
18,19,245,26.555 Gbps,26.555 Gbps,4.987967e+12,0,1.977703e-13,0.0,BER (6.44e-13 / 7.6e-13) rng=[2.1e-13 - 3.3e-12])  ,63.0,PEAK (18=1131 / 81=1133)  VALEY (32),0,
