,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,67,53.121 Gbps,53.109 Gbps,4.232575e+11,73,1.385833e-10,0.0,  ,0.0,,0.0,
1,2,79,53.121 Gbps,53.109 Gbps,1.013066e+12,152,1.427525e-10,0.0,BER (1.39e-10 / nan) rng=[1.4e-10 - 1.4e-10])  ,0.0,,0.0,
2,3,90,53.109 Gbps,53.121 Gbps,1.695392e+12,217,1.252875e-10,0.0,BER (1.41e-10 / 2.9e-12) rng=[1.4e-10 - 1.4e-10])  ,0.0,,0.0,
3,4,102,53.109 Gbps,53.109 Gbps,2.301026e+12,282,1.202357e-10,0.0,BER (1.36e-10 / 9.1e-12) rng=[1.3e-10 - 1.4e-10])  ,0.0,,0.0,
4,5,114,53.109 Gbps,53.109 Gbps,2.918033e+12,365,1.226086e-10,19.718611786369955,BER (1.32e-10 / 1.1e-11) rng=[1.2e-10 - 1.4e-10])  SNR (19.9 /  0.2),0.0,,0.0,
5,6,126,53.121 Gbps,53.109 Gbps,3.556392e+12,449,1.235854e-10,19.718611786369955,BER (1.30e-10 / 1.0e-11) rng=[1.2e-10 - 1.4e-10])  SNR (19.9 /  0.2),13.666666666666666,PEAK (29=759 / 44=624 / 55=650 / 70=759)  VALEY (35=0 / 49=0 / 61=0),7.181493066679391e-08,PER: (P1:(30.4 / 1.2 rng=[0.0 - 0.0]) P2:(43.2 / 1.2 rng=[0.0 - 0.0]) P3:(56.7 / 1.1 rng=[0.0 - 0.0]) P4:(69.6 / 1.1 rng=[0.0 - 0.0]) ERR:E12=1.2e-08 E21=3.0e-08 E23=6.6e-09 E32=2.2e-09 E34=1.1e-08 E43=9.7e-09)
6,7,137,53.109 Gbps,53.109 Gbps,4.176632e+12,531,1.253504e-10,19.718611786369955,BER (1.29e-10 / 9.4e-12) rng=[1.2e-10 - 1.4e-10])  SNR (19.9 /  0.2),13.666666666666666,PEAK (29=759 / 44=624 / 55=650 / 70=759)  VALEY (35=0 / 49=0 / 61=0),7.181493066679391e-08,PER: (P1:(30.4 / 1.2 rng=[0.0 - 0.0]) P2:(43.2 / 1.2 rng=[0.0 - 0.0]) P3:(56.7 / 1.1 rng=[0.0 - 0.0]) P4:(69.6 / 1.1 rng=[0.0 - 0.0]) ERR:E12=1.2e-08 E21=3.0e-08 E23=6.6e-09 E32=2.2e-09 E34=1.1e-08 E43=9.7e-09)
7,8,149,53.121 Gbps,53.109 Gbps,4.773217e+12,592,1.22027e-10,19.718611786369955,BER (1.28e-10 / 8.7e-12) rng=[1.2e-10 - 1.4e-10])  SNR (19.9 /  0.2),13.666666666666666,PEAK (29=759 / 44=624 / 55=650 / 70=759)  VALEY (35=0 / 49=0 / 61=0),7.181493066679391e-08,PER: (P1:(30.4 / 1.2 rng=[0.0 - 0.0]) P2:(43.2 / 1.2 rng=[0.0 - 0.0]) P3:(56.7 / 1.1 rng=[0.0 - 0.0]) P4:(69.6 / 1.1 rng=[0.0 - 0.0]) ERR:E12=1.2e-08 E21=3.0e-08 E23=6.6e-09 E32=2.2e-09 E34=1.1e-08 E43=9.7e-09)
8,9,159,53.109 Gbps,53.121 Gbps,5.270478e+12,639,1.199817e-10,19.718611786369955,BER (1.28e-10 / 8.3e-12) rng=[1.2e-10 - 1.4e-10])  SNR (19.9 /  0.2),13.666666666666666,PEAK (29=759 / 44=624 / 55=650 / 70=759)  VALEY (35=0 / 49=0 / 61=0),7.181493066679391e-08,PER: (P1:(30.4 / 1.2 rng=[0.0 - 0.0]) P2:(43.2 / 1.2 rng=[0.0 - 0.0]) P3:(56.7 / 1.1 rng=[0.0 - 0.0]) P4:(69.6 / 1.1 rng=[0.0 - 0.0]) ERR:E12=1.2e-08 E21=3.0e-08 E23=6.6e-09 E32=2.2e-09 E34=1.1e-08 E43=9.7e-09)
9,10,168,53.109 Gbps,53.109 Gbps,5.717655e+12,690,1.194851e-10,19.718611786369955,BER (1.27e-10 / 8.2e-12) rng=[1.2e-10 - 1.4e-10])  SNR (19.9 /  0.2),13.666666666666666,PEAK (29=759 / 44=624 / 55=650 / 70=759)  VALEY (35=0 / 49=0 / 61=0),7.181493066679391e-08,PER: (P1:(30.4 / 1.2 rng=[0.0 - 0.0]) P2:(43.2 / 1.2 rng=[0.0 - 0.0]) P3:(56.7 / 1.1 rng=[0.0 - 0.0]) P4:(69.6 / 1.1 rng=[0.0 - 0.0]) ERR:E12=1.2e-08 E21=3.0e-08 E23=6.6e-09 E32=2.2e-09 E34=1.1e-08 E43=9.7e-09)
10,11,177,53.109 Gbps,53.121 Gbps,6.184319e+12,746,1.196093e-10,19.718611786369955,BER (1.26e-10 / 8.1e-12) rng=[1.2e-10 - 1.4e-10])  SNR (19.9 /  0.2),13.666666666666666,PEAK (29=759 / 44=624 / 55=650 / 70=759)  VALEY (35=0 / 49=0 / 61=0),7.181493066679391e-08,PER: (P1:(30.4 / 1.2 rng=[0.0 - 0.0]) P2:(43.2 / 1.2 rng=[0.0 - 0.0]) P3:(56.7 / 1.1 rng=[0.0 - 0.0]) P4:(69.6 / 1.1 rng=[0.0 - 0.0]) ERR:E12=1.2e-08 E21=3.0e-08 E23=6.6e-09 E32=2.2e-09 E34=1.1e-08 E43=9.7e-09)
11,12,185,53.121 Gbps,53.121 Gbps,6.649596e+12,803,1.203156e-10,19.718611786369955,BER (1.25e-10 / 7.9e-12) rng=[1.2e-10 - 1.4e-10])  SNR (19.9 /  0.2),13.666666666666666,PEAK (29=759 / 44=624 / 55=650 / 70=759)  VALEY (35=0 / 49=0 / 61=0),7.181493066679391e-08,PER: (P1:(30.4 / 1.2 rng=[0.0 - 0.0]) P2:(43.2 / 1.2 rng=[0.0 - 0.0]) P3:(56.7 / 1.1 rng=[0.0 - 0.0]) P4:(69.6 / 1.1 rng=[0.0 - 0.0]) ERR:E12=1.2e-08 E21=3.0e-08 E23=6.6e-09 E32=2.2e-09 E34=1.1e-08 E43=9.7e-09)
12,13,194,53.109 Gbps,53.109 Gbps,7.112221e+12,859,1.192655e-10,19.718611786369955,BER (1.25e-10 / 7.7e-12) rng=[1.2e-10 - 1.4e-10])  SNR (19.9 /  0.2),13.666666666666666,PEAK (29=759 / 44=624 / 55=650 / 70=759)  VALEY (35=0 / 49=0 / 61=0),7.181493066679391e-08,PER: (P1:(30.4 / 1.2 rng=[0.0 - 0.0]) P2:(43.2 / 1.2 rng=[0.0 - 0.0]) P3:(56.7 / 1.1 rng=[0.0 - 0.0]) P4:(69.6 / 1.1 rng=[0.0 - 0.0]) ERR:E12=1.2e-08 E21=3.0e-08 E23=6.6e-09 E32=2.2e-09 E34=1.1e-08 E43=9.7e-09)
13,14,203,53.109 Gbps,53.109 Gbps,7.579773e+12,918,1.202623e-10,19.718611786369955,BER (1.25e-10 / 7.5e-12) rng=[1.2e-10 - 1.4e-10])  SNR (19.9 /  0.2),13.666666666666666,PEAK (29=759 / 44=624 / 55=650 / 70=759)  VALEY (35=0 / 49=0 / 61=0),7.181493066679391e-08,PER: (P1:(30.4 / 1.2 rng=[0.0 - 0.0]) P2:(43.2 / 1.2 rng=[0.0 - 0.0]) P3:(56.7 / 1.1 rng=[0.0 - 0.0]) P4:(69.6 / 1.1 rng=[0.0 - 0.0]) ERR:E12=1.2e-08 E21=3.0e-08 E23=6.6e-09 E32=2.2e-09 E34=1.1e-08 E43=9.7e-09)
14,15,211,53.121 Gbps,53.109 Gbps,8.037798e+12,971,1.196981e-10,19.718611786369955,BER (1.24e-10 / 7.3e-12) rng=[1.2e-10 - 1.4e-10])  SNR (19.9 /  0.2),13.666666666666666,PEAK (29=759 / 44=624 / 55=650 / 70=759)  VALEY (35=0 / 49=0 / 61=0),7.181493066679391e-08,PER: (P1:(30.4 / 1.2 rng=[0.0 - 0.0]) P2:(43.2 / 1.2 rng=[0.0 - 0.0]) P3:(56.7 / 1.1 rng=[0.0 - 0.0]) P4:(69.6 / 1.1 rng=[0.0 - 0.0]) ERR:E12=1.2e-08 E21=3.0e-08 E23=6.6e-09 E32=2.2e-09 E34=1.1e-08 E43=9.7e-09)
