,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,67,53.121 Gbps,53.109 Gbps,4.068848e+11,15,3.52186e-11,0.0,  ,0.0,,0.0,
1,2,79,53.121 Gbps,53.109 Gbps,1.005721e+12,31,2.900211e-11,0.0,BER (3.52e-11 / nan) rng=[3.5e-11 - 3.5e-11])  ,0.0,,0.0,
2,3,90,53.109 Gbps,53.109 Gbps,1.678856e+12,49,2.805149e-11,0.0,BER (3.21e-11 / 4.4e-12) rng=[2.9e-11 - 3.5e-11])  ,0.0,,0.0,
3,4,102,53.109 Gbps,53.109 Gbps,2.300548e+12,62,2.596963e-11,0.0,BER (3.08e-11 / 3.9e-12) rng=[2.8e-11 - 3.5e-11])  ,0.0,,0.0,
4,5,115,53.121 Gbps,53.109 Gbps,2.916589e+12,77,2.5643e-11,0.0,BER (2.96e-11 / 4.0e-12) rng=[2.6e-11 - 3.5e-11])  ,0.0,,0.0,
5,6,127,53.109 Gbps,53.121 Gbps,3.567443e+12,89,2.48579e-11,21.64777736242823,BER (2.88e-11 / 3.9e-12) rng=[2.6e-11 - 3.5e-11])  SNR (21.9 /  0.2),0.0,,0.0,
6,7,138,53.109 Gbps,53.109 Gbps,4.179961e+12,106,2.48364e-11,21.64777736242823,BER (2.81e-11 / 3.8e-12) rng=[2.5e-11 - 3.5e-11])  SNR (21.9 /  0.2),13.0,PEAK (30=639 / 44=716 / 55=716 / 69=574)  VALEY (35=0 / 47=0 / 60=0),1.588294332448095e-09,PER: (P1:(30.9 / 1.0 rng=[0.0 - 0.0]) P2:(43.4 / 1.0 rng=[0.0 - 0.0]) P3:(56.6 / 1.0 rng=[0.0 - 0.0]) P4:(68.9 / 1.0 rng=[0.0 - 0.0]) ERR:E12=2.1e-10 E21=7.1e-11 E23=9.9e-12 E32=8.6e-11 E34=7.9e-10 E43=4.3e-10)
7,8,150,53.109 Gbps,53.109 Gbps,4.775959e+12,118,2.418219e-11,21.64777736242823,BER (2.77e-11 / 3.7e-12) rng=[2.5e-11 - 3.5e-11])  SNR (21.9 /  0.2),13.0,PEAK (30=639 / 44=716 / 55=716 / 69=574)  VALEY (35=0 / 47=0 / 60=0),1.588294332448095e-09,PER: (P1:(30.9 / 1.0 rng=[0.0 - 0.0]) P2:(43.4 / 1.0 rng=[0.0 - 0.0]) P3:(56.6 / 1.0 rng=[0.0 - 0.0]) P4:(68.9 / 1.0 rng=[0.0 - 0.0]) ERR:E12=2.1e-10 E21=7.1e-11 E23=9.9e-12 E32=8.6e-11 E34=7.9e-10 E43=4.3e-10)
8,9,160,53.109 Gbps,53.109 Gbps,5.270158e+12,130,2.428178e-11,21.64777736242823,BER (2.72e-11 / 3.6e-12) rng=[2.4e-11 - 3.5e-11])  SNR (21.9 /  0.2),13.0,PEAK (30=639 / 44=716 / 55=716 / 69=574)  VALEY (35=0 / 47=0 / 60=0),1.588294332448095e-09,PER: (P1:(30.9 / 1.0 rng=[0.0 - 0.0]) P2:(43.4 / 1.0 rng=[0.0 - 0.0]) P3:(56.6 / 1.0 rng=[0.0 - 0.0]) P4:(68.9 / 1.0 rng=[0.0 - 0.0]) ERR:E12=2.1e-10 E21=7.1e-11 E23=9.9e-12 E32=8.6e-11 E34=7.9e-10 E43=4.3e-10)
9,10,168,53.121 Gbps,53.109 Gbps,5.716826e+12,144,2.512822e-11,21.64777736242823,BER (2.69e-11 / 3.5e-12) rng=[2.4e-11 - 3.5e-11])  SNR (21.9 /  0.2),13.0,PEAK (30=639 / 44=716 / 55=716 / 69=574)  VALEY (35=0 / 47=0 / 60=0),1.588294332448095e-09,PER: (P1:(30.9 / 1.0 rng=[0.0 - 0.0]) P2:(43.4 / 1.0 rng=[0.0 - 0.0]) P3:(56.6 / 1.0 rng=[0.0 - 0.0]) P4:(68.9 / 1.0 rng=[0.0 - 0.0]) ERR:E12=2.1e-10 E21=7.1e-11 E23=9.9e-12 E32=8.6e-11 E34=7.9e-10 E43=4.3e-10)
10,11,177,53.121 Gbps,53.121 Gbps,6.183242e+12,153,2.511185e-11,21.64777736242823,BER (2.67e-11 / 3.4e-12) rng=[2.4e-11 - 3.5e-11])  SNR (21.9 /  0.2),13.0,PEAK (30=639 / 44=716 / 55=716 / 69=574)  VALEY (35=0 / 47=0 / 60=0),1.588294332448095e-09,PER: (P1:(30.9 / 1.0 rng=[0.0 - 0.0]) P2:(43.4 / 1.0 rng=[0.0 - 0.0]) P3:(56.6 / 1.0 rng=[0.0 - 0.0]) P4:(68.9 / 1.0 rng=[0.0 - 0.0]) ERR:E12=2.1e-10 E21=7.1e-11 E23=9.9e-12 E32=8.6e-11 E34=7.9e-10 E43=4.3e-10)
11,12,185,53.109 Gbps,53.121 Gbps,6.649377e+12,170,2.507938e-11,21.64777736242823,BER (2.66e-11 / 3.2e-12) rng=[2.4e-11 - 3.5e-11])  SNR (21.9 /  0.2),13.0,PEAK (30=639 / 44=716 / 55=716 / 69=574)  VALEY (35=0 / 47=0 / 60=0),1.588294332448095e-09,PER: (P1:(30.9 / 1.0 rng=[0.0 - 0.0]) P2:(43.4 / 1.0 rng=[0.0 - 0.0]) P3:(56.6 / 1.0 rng=[0.0 - 0.0]) P4:(68.9 / 1.0 rng=[0.0 - 0.0]) ERR:E12=2.1e-10 E21=7.1e-11 E23=9.9e-12 E32=8.6e-11 E34=7.9e-10 E43=4.3e-10)
12,13,194,53.109 Gbps,53.121 Gbps,7.133260e+12,178,2.449034e-11,21.64777736242823,BER (2.64e-11 / 3.1e-12) rng=[2.4e-11 - 3.5e-11])  SNR (21.9 /  0.2),13.0,PEAK (30=639 / 44=716 / 55=716 / 69=574)  VALEY (35=0 / 47=0 / 60=0),1.588294332448095e-09,PER: (P1:(30.9 / 1.0 rng=[0.0 - 0.0]) P2:(43.4 / 1.0 rng=[0.0 - 0.0]) P3:(56.6 / 1.0 rng=[0.0 - 0.0]) P4:(68.9 / 1.0 rng=[0.0 - 0.0]) ERR:E12=2.1e-10 E21=7.1e-11 E23=9.9e-12 E32=8.6e-11 E34=7.9e-10 E43=4.3e-10)
13,14,204,53.109 Gbps,53.109 Gbps,7.583461e+12,186,2.446765e-11,21.64777736242823,BER (2.63e-11 / 3.0e-12) rng=[2.4e-11 - 3.5e-11])  SNR (21.9 /  0.2),13.0,PEAK (30=639 / 44=716 / 55=716 / 69=574)  VALEY (35=0 / 47=0 / 60=0),1.588294332448095e-09,PER: (P1:(30.9 / 1.0 rng=[0.0 - 0.0]) P2:(43.4 / 1.0 rng=[0.0 - 0.0]) P3:(56.6 / 1.0 rng=[0.0 - 0.0]) P4:(68.9 / 1.0 rng=[0.0 - 0.0]) ERR:E12=2.1e-10 E21=7.1e-11 E23=9.9e-12 E32=8.6e-11 E34=7.9e-10 E43=4.3e-10)
14,15,212,53.109 Gbps,53.121 Gbps,8.054555e+12,193,2.357175e-11,21.64777736242823,BER (2.62e-11 / 3.0e-12) rng=[2.4e-11 - 3.5e-11])  SNR (21.9 /  0.2),13.0,PEAK (30=639 / 44=716 / 55=716 / 69=574)  VALEY (35=0 / 47=0 / 60=0),1.588294332448095e-09,PER: (P1:(30.9 / 1.0 rng=[0.0 - 0.0]) P2:(43.4 / 1.0 rng=[0.0 - 0.0]) P3:(56.6 / 1.0 rng=[0.0 - 0.0]) P4:(68.9 / 1.0 rng=[0.0 - 0.0]) ERR:E12=2.1e-10 E21=7.1e-11 E23=9.9e-12 E32=8.6e-11 E34=7.9e-10 E43=4.3e-10)
15,16,221,53.109 Gbps,53.109 Gbps,8.491496e+12,201,2.340686e-11,21.64777736242823,BER (2.60e-11 / 2.9e-12) rng=[2.4e-11 - 3.5e-11])  SNR (21.9 /  0.2),13.0,PEAK (30=639 / 44=716 / 55=716 / 69=574)  VALEY (35=0 / 47=0 / 60=0),1.588294332448095e-09,PER: (P1:(30.9 / 1.0 rng=[0.0 - 0.0]) P2:(43.4 / 1.0 rng=[0.0 - 0.0]) P3:(56.6 / 1.0 rng=[0.0 - 0.0]) P4:(68.9 / 1.0 rng=[0.0 - 0.0]) ERR:E12=2.1e-10 E21=7.1e-11 E23=9.9e-12 E32=8.6e-11 E34=7.9e-10 E43=4.3e-10)
16,17,229,53.121 Gbps,53.121 Gbps,8.977440e+12,208,2.301163e-11,21.64777736242823,BER (2.58e-11 / 2.9e-12) rng=[2.3e-11 - 3.5e-11])  SNR (21.9 /  0.2),13.0,PEAK (30=639 / 44=716 / 55=716 / 69=574)  VALEY (35=0 / 47=0 / 60=0),1.588294332448095e-09,PER: (P1:(30.9 / 1.0 rng=[0.0 - 0.0]) P2:(43.4 / 1.0 rng=[0.0 - 0.0]) P3:(56.6 / 1.0 rng=[0.0 - 0.0]) P4:(68.9 / 1.0 rng=[0.0 - 0.0]) ERR:E12=2.1e-10 E21=7.1e-11 E23=9.9e-12 E32=8.6e-11 E34=7.9e-10 E43=4.3e-10)
17,18,238,53.109 Gbps,53.121 Gbps,9.425295e+12,218,2.290877e-11,21.64777736242823,BER (2.57e-11 / 2.9e-12) rng=[2.3e-11 - 3.5e-11])  SNR (21.9 /  0.2),13.0,PEAK (30=639 / 44=716 / 55=716 / 69=574)  VALEY (35=0 / 47=0 / 60=0),1.588294332448095e-09,PER: (P1:(30.9 / 1.0 rng=[0.0 - 0.0]) P2:(43.4 / 1.0 rng=[0.0 - 0.0]) P3:(56.6 / 1.0 rng=[0.0 - 0.0]) P4:(68.9 / 1.0 rng=[0.0 - 0.0]) ERR:E12=2.1e-10 E21=7.1e-11 E23=9.9e-12 E32=8.6e-11 E34=7.9e-10 E43=4.3e-10)
18,19,247,53.121 Gbps,53.109 Gbps,9.885349e+12,226,2.255596e-11,21.64777736242823,BER (2.55e-11 / 2.9e-12) rng=[2.3e-11 - 3.5e-11])  SNR (21.9 /  0.2),13.0,PEAK (30=639 / 44=716 / 55=716 / 69=574)  VALEY (35=0 / 47=0 / 60=0),1.588294332448095e-09,PER: (P1:(30.9 / 1.0 rng=[0.0 - 0.0]) P2:(43.4 / 1.0 rng=[0.0 - 0.0]) P3:(56.6 / 1.0 rng=[0.0 - 0.0]) P4:(68.9 / 1.0 rng=[0.0 - 0.0]) ERR:E12=2.1e-10 E21=7.1e-11 E23=9.9e-12 E32=8.6e-11 E34=7.9e-10 E43=4.3e-10)
