,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,62,No link,25.77 Gbps,2.311194e+11,3510,1.0,0.0,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x1051' CC='0xDD89_0017'),0.0,,0,
1,2,78,No link,25.77 Gbps,6.941259e+11,12205,1.0,0.0,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x3E85' CC='0x2_4140_2305'),0.0,,0,
2,3,97,No link,25.77 Gbps,1.156938e+12,25536,1.0,7.676915454661472,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x675E' CC='0x3_99F7_4539'),0.0,,0,
3,4,114,No link,25.77 Gbps,1.605241e+12,33776,1.0,7.676915454661472,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x85DC' CC='0x4_EA89_FA15'),3.0,PEAK (48=2454 / 51=2528)  VALEY (50),0,
4,5,132,No link,25.77 Gbps,2.036963e+12,46473,1.0,7.676915454661472,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0xB589' CC='0x6_25F5_4422'),3.0,PEAK (48=2454 / 51=2528)  VALEY (50),0,
5,6,149,No link,25.77 Gbps,2.490545e+12,58494,1.0,7.676915454661472,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0xE96C' CC='0x7_6E12_D6AA'),3.0,PEAK (48=2454 / 51=2528)  VALEY (50),0,
6,7,164,No link,25.77 Gbps,2.832501e+12,74489,1.0,7.676915454661472,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x1_2856' CC='0x8_6E5F_2B13'),3.0,PEAK (48=2454 / 51=2528)  VALEY (50),0,
7,8,177,No link,25.77 Gbps,3.171789e+12,83756,1.0,7.676915454661472,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x1_4A75' CC='0x9_6B26_3791'),3.0,PEAK (48=2454 / 51=2528)  VALEY (50),0,
8,9,190,No link,25.77 Gbps,3.518243e+12,87228,1.0,7.676915454661472,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x1_570A' CC='0xA_7057_6ABE'),3.0,PEAK (48=2454 / 51=2528)  VALEY (50),0,
9,10,203,No link,25.77 Gbps,3.865368e+12,91649,1.0,7.676915454661472,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x1_6601' CC='0xB_6FAF_4581'),3.0,PEAK (48=2454 / 51=2528)  VALEY (50),0,
10,11,217,No link,25.77 Gbps,4.204369e+12,95604,1.0,7.676915454661472,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x1_7696' CC='0xC_6C25_0395'),3.0,PEAK (48=2454 / 51=2528)  VALEY (50),0,
11,12,230,No link,25.77 Gbps,4.535858e+12,99896,1.0,7.676915454661472,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x1_8638' CC='0xD_636C_8B7A'),3.0,PEAK (48=2454 / 51=2528)  VALEY (50),0,
