,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,61,No link,51.551 Gbps,3.835524e+11,0,1.0,0.0,LINK ('No link' R=51.551 Gbps LS='Not locked' EC='0x0' CC='0xD44E_FF41'),0.0,,0,
1,2,78,No link,51.551 Gbps,1.266782e+12,0,1.0,0.0,LINK ('No link' R=51.551 Gbps LS='Not locked' EC='0x0' CC='0x2_0FE3_A1EC'),0.0,,0,
2,3,95,No link,51.551 Gbps,2.175458e+12,0,1.0,0.0,LINK ('No link' R=51.563 Gbps LS='Not locked' EC='0x0' CC='0x3_685F_F5E7'),0.0,,0,
3,4,113,No link,51.551 Gbps,3.021581e+12,0,1.0,0.0,LINK ('No link' R=51.551 Gbps LS='Not locked' EC='0x0' CC='0x4_AD96_D6B5'),0.0,,0,
4,5,130,No link,51.551 Gbps,3.873932e+12,0,1.0,0.0,LINK ('No link' R=51.551 Gbps LS='Not locked' EC='0x0' CC='0x5_E3D3_E207'),0.0,,0,
5,6,146,No link,51.551 Gbps,4.693823e+12,0,1.0,0.0,LINK ('No link' R=51.551 Gbps LS='Not locked' EC='0x0' CC='0x6_FEA4_9820'),1.6666666666666667,PEAK (47=1537 / 48=1537 / 51=1537 / 52=1537)  VALEY (47=154 / 50=1340 / 51=1391),0,
6,7,159,No link,51.551 Gbps,5.295354e+12,0,1.0,0.0,LINK ('No link' R=51.551 Gbps LS='Not locked' EC='0x0' CC='0x7_DE26_E461'),1.6666666666666667,PEAK (47=1537 / 48=1537 / 51=1537 / 52=1537)  VALEY (47=154 / 50=1340 / 51=1391),0,
7,8,170,No link,51.551 Gbps,5.914114e+12,0,1.0,0.0,LINK ('No link' R=51.551 Gbps LS='Not locked' EC='0x0' CC='0x8_BF3C_86C2'),1.6666666666666667,PEAK (47=1537 / 48=1537 / 51=1537 / 52=1537)  VALEY (47=154 / 50=1340 / 51=1391),0,
8,9,182,No link,51.551 Gbps,6.544780e+12,0,1.0,0.0,LINK ('No link' R=51.551 Gbps LS='Not locked' EC='0x0' CC='0x9_A88A_0C27'),1.6666666666666667,PEAK (47=1537 / 48=1537 / 51=1537 / 52=1537)  VALEY (47=154 / 50=1340 / 51=1391),0,
9,10,194,No link,51.551 Gbps,7.169603e+12,0,1.0,0.0,LINK ('No link' R=51.551 Gbps LS='Not locked' EC='0x0' CC='0xA_95A9_638A'),1.6666666666666667,PEAK (47=1537 / 48=1537 / 51=1537 / 52=1537)  VALEY (47=154 / 50=1340 / 51=1391),0,
10,11,206,No link,51.551 Gbps,7.802100e+12,0,1.0,0.0,LINK ('No link' R=51.551 Gbps LS='Not locked' EC='0x0' CC='0xB_8708_F026'),1.6666666666666667,PEAK (47=1537 / 48=1537 / 51=1537 / 52=1537)  VALEY (47=154 / 50=1340 / 51=1391),0,
11,12,219,No link,51.563 Gbps,8.436791e+12,0,1.0,0.0,LINK ('No link' R=51.551 Gbps LS='Not locked' EC='0x0' CC='0xC_7703_25AF'),1.6666666666666667,PEAK (47=1537 / 48=1537 / 51=1537 / 52=1537)  VALEY (47=154 / 50=1340 / 51=1391),0,
12,13,231,No link,51.551 Gbps,9.074851e+12,0,1.0,0.0,LINK ('No link' R=51.551 Gbps LS='Not locked' EC='0x0' CC='0xD_649E_DC15'),1.6666666666666667,PEAK (47=1537 / 48=1537 / 51=1537 / 52=1537)  VALEY (47=154 / 50=1340 / 51=1391),0,
13,14,244,No link,51.551 Gbps,9.719197e+12,0,1.0,0.0,LINK ('No link' R=51.551 Gbps LS='Not locked' EC='0x0' CC='0xE_5339_66F1'),1.6666666666666667,PEAK (47=1537 / 48=1537 / 51=1537 / 52=1537)  VALEY (47=154 / 50=1340 / 51=1391),0,
14,15,256,No link,51.551 Gbps,1.036006e+13,0,1.0,0.0,LINK ('No link' R=51.551 Gbps LS='Not locked' EC='0x0' CC='0xF_435A_923F'),1.6666666666666667,PEAK (47=1537 / 48=1537 / 51=1537 / 52=1537)  VALEY (47=154 / 50=1340 / 51=1391),0,
15,16,269,No link,51.563 Gbps,1.099890e+13,0,1.0,0.0,LINK ('No link' R=51.551 Gbps LS='Not locked' EC='0x0' CC='0x10_2EB9_96EC'),1.6666666666666667,PEAK (47=1537 / 48=1537 / 51=1537 / 52=1537)  VALEY (47=154 / 50=1340 / 51=1391),0,
16,17,281,No link,51.551 Gbps,1.161187e+13,0,1.0,0.0,LINK ('No link' R=51.551 Gbps LS='Not locked' EC='0x0' CC='0x11_16B2_EEE5'),1.6666666666666667,PEAK (47=1537 / 48=1537 / 51=1537 / 52=1537)  VALEY (47=154 / 50=1340 / 51=1391),0,
