,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,62,No link,25.77 Gbps,1.899958e+11,0,1.0,0.0,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0xC1DC_6020'),0.0,,0,
1,2,79,No link,25.77 Gbps,6.577905e+11,0,1.0,0.0,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0x2_2322_8318'),0.0,,0,
2,3,98,No link,25.77 Gbps,1.113650e+12,0,1.0,0.0,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0x3_80E9_BB49'),0.0,,0,
3,4,115,No link,25.77 Gbps,1.563211e+12,0,1.0,0.0,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0x4_CAB4_AE15'),0.0,,0,
4,5,132,No link,25.77 Gbps,1.997289e+12,0,1.0,9.36846514126983,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0x6_0894_3479'),0.0,,0,
5,6,150,No link,25.77 Gbps,2.449067e+12,0,1.0,9.36846514126983,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0x7_4F48_40AE'),3.0,PEAK (48=2314 / 51=2313)  VALEY (50),0,
6,7,164,No link,25.77 Gbps,2.787293e+12,0,1.0,9.36846514126983,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0x8_4CCD_7086'),3.0,PEAK (48=2314 / 51=2313)  VALEY (50),0,
7,8,177,No link,25.77 Gbps,3.130292e+12,0,1.0,9.36846514126983,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0x9_4C5F_1E33'),3.0,PEAK (48=2314 / 51=2313)  VALEY (50),0,
8,9,191,No link,25.77 Gbps,3.474776e+12,0,1.0,9.36846514126983,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0xA_4E48_A762'),3.0,PEAK (48=2314 / 51=2313)  VALEY (50),0,
9,10,204,No link,25.77 Gbps,3.822135e+12,0,1.0,9.36846514126983,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0xB_4FEF_F498'),3.0,PEAK (48=2314 / 51=2313)  VALEY (50),0,
10,11,217,No link,25.77 Gbps,4.162914e+12,0,1.0,9.36846514126983,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0xC_51F1_E2FC'),3.0,PEAK (48=2314 / 51=2313)  VALEY (50),0,
11,12,230,No link,25.77 Gbps,4.500851e+12,0,1.0,9.36846514126983,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0xD_4942_063E'),3.0,PEAK (48=2314 / 51=2313)  VALEY (50),0,
12,13,244,No link,25.77 Gbps,4.849192e+12,0,1.0,9.36846514126983,LINK ('No link' R=25.781 Gbps LS='Not locked' EC='0x0' CC='0xE_4E73_E3A3'),3.0,PEAK (48=2314 / 51=2313)  VALEY (50),0,
13,14,257,No link,25.77 Gbps,5.189922e+12,0,1.0,9.36846514126983,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0xF_4AD2_E961'),3.0,PEAK (48=2314 / 51=2313)  VALEY (50),0,
14,15,270,No link,25.77 Gbps,5.527525e+12,0,1.0,9.36846514126983,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0x10_4C39_F4AE'),3.0,PEAK (48=2314 / 51=2313)  VALEY (50),0,
15,16,284,No link,25.77 Gbps,5.882390e+12,0,1.0,9.36846514126983,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0x11_4EA5_D0CB'),3.0,PEAK (48=2314 / 51=2313)  VALEY (50),0,
16,17,297,No link,25.77 Gbps,6.224643e+12,0,1.0,9.36846514126983,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0x12_4BC9_409E'),3.0,PEAK (48=2314 / 51=2313)  VALEY (50),0,
17,18,310,No link,25.77 Gbps,6.560614e+12,0,1.0,9.36846514126983,LINK ('No link' R=25.77 Gbps LS='Not locked' EC='0x0' CC='0x13_49DE_4107'),3.0,PEAK (48=2314 / 51=2313)  VALEY (50),0,
