,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,62,25.77 Gbps,25.77 Gbps,2.205842e+11,0,3.416049e-12,0.0,  ,0.0,,0,
1,2,75,25.77 Gbps,25.77 Gbps,5.014983e+11,0,1.68687e-12,0.0,BER (3.42e-12 / nan) rng=[3.4e-12 - 3.4e-12])  ,0.0,,0,
2,3,86,25.77 Gbps,25.77 Gbps,8.406551e+11,0,1.114857e-12,0.0,BER (2.55e-12 / 1.2e-12) rng=[1.7e-12 - 3.4e-12])  ,0.0,,0,
3,4,97,25.77 Gbps,25.77 Gbps,1.130237e+12,0,8.263429e-13,0.0,BER (2.07e-12 / 1.2e-12) rng=[1.1e-12 - 3.4e-12])  ,0.0,,0,
4,5,109,25.77 Gbps,25.77 Gbps,1.406779e+12,0,6.743124e-13,0.0,BER (1.76e-12 / 1.2e-12) rng=[8.3e-13 - 3.4e-12])  ,0.0,,0,
5,6,120,25.77 Gbps,25.77 Gbps,1.724635e+12,0,5.572101e-13,0.0,BER (1.54e-12 / 1.1e-12) rng=[6.7e-13 - 3.4e-12])  ,0.0,,0,
6,7,131,25.77 Gbps,25.77 Gbps,2.001968e+12,0,4.81801e-13,0.0,BER (1.38e-12 / 1.1e-12) rng=[5.6e-13 - 3.4e-12])  ,33.0,PEAK (33=1257 / 66=1241)  VALEY (41),0,
7,8,143,25.77 Gbps,25.77 Gbps,2.289500e+12,0,4.188238e-13,0.0,BER (1.25e-12 / 1.0e-12) rng=[4.8e-13 - 3.4e-12])  ,33.0,PEAK (33=1257 / 66=1241)  VALEY (41),0,
8,9,154,25.77 Gbps,25.77 Gbps,2.562256e+12,0,3.825265e-13,0.0,BER (1.15e-12 / 1.0e-12) rng=[4.2e-13 - 3.4e-12])  ,33.0,PEAK (33=1257 / 66=1241)  VALEY (41),0,
9,10,163,25.77 Gbps,25.77 Gbps,2.781835e+12,0,3.513664e-13,0.0,BER (1.06e-12 / 9.8e-13) rng=[3.8e-13 - 3.4e-12])  ,33.0,PEAK (33=1257 / 66=1241)  VALEY (41),0,
