,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,67,No link,28.377 Gbps,2.115838e+11,0,1.0,0.0,LINK ('No link' R=28.383 Gbps LS='Not locked' EC='0x0' CC='0xE2A0_01D7'),0.0,,0,
1,2,85,No link,28.377 Gbps,7.257035e+11,0,1.0,0.0,LINK ('No link' R=28.383 Gbps LS='Not locked' EC='0x0' CC='0x2_6355_5F1B'),0.0,,0,
2,3,103,No link,28.383 Gbps,1.217376e+12,0,1.0,0.0,LINK ('No link' R=28.383 Gbps LS='Not locked' EC='0x0' CC='0x3_CC8C_2523'),0.0,,0,
3,4,120,No link,28.383 Gbps,1.727398e+12,0,1.0,0.0,LINK ('No link' R=28.383 Gbps LS='Not locked' EC='0x0' CC='0x5_4C0B_1C9D'),0.0,,0,
4,5,138,No link,28.383 Gbps,2.220705e+12,0,1.0,8.34884433215713,LINK ('No link' R=28.383 Gbps LS='Not locked' EC='0x0' CC='0x6_BE48_55DC'),0.0,,0,
5,6,155,No link,28.377 Gbps,2.701285e+12,0,1.0,8.34884433215713,LINK ('No link' R=28.377 Gbps LS='Not locked' EC='0x0' CC='0x8_1117_A676'),3.0,PEAK (48=2116 / 51=2058)  VALEY (50),0,
6,7,169,No link,28.383 Gbps,3.067810e+12,0,1.0,8.34884433215713,LINK ('No link' R=28.383 Gbps LS='Not locked' EC='0x0' CC='0x9_28D2_7E4B'),3.0,PEAK (48=2116 / 51=2058)  VALEY (50),0,
7,8,182,No link,28.383 Gbps,3.453570e+12,0,1.0,8.34884433215713,LINK ('No link' R=28.383 Gbps LS='Not locked' EC='0x0' CC='0xA_41ED_0D3D'),3.0,PEAK (48=2116 / 51=2058)  VALEY (50),0,
8,9,196,No link,28.383 Gbps,3.822427e+12,0,1.0,8.34884433215713,LINK ('No link' R=28.383 Gbps LS='Not locked' EC='0x0' CC='0xB_5787_5AE7'),3.0,PEAK (48=2116 / 51=2058)  VALEY (50),0,
9,10,209,No link,28.377 Gbps,4.195372e+12,0,1.0,8.34884433215713,LINK ('No link' R=28.377 Gbps LS='Not locked' EC='0x0' CC='0xC_6A6E_09B3'),3.0,PEAK (48=2116 / 51=2058)  VALEY (50),0,
10,11,222,No link,28.383 Gbps,4.563469e+12,0,1.0,8.34884433215713,LINK ('No link' R=28.383 Gbps LS='Not locked' EC='0x0' CC='0xD_7E5C_B80C'),3.0,PEAK (48=2116 / 51=2058)  VALEY (50),0,
11,12,235,No link,28.383 Gbps,4.950438e+12,0,1.0,8.34884433215713,LINK ('No link' R=28.383 Gbps LS='Not locked' EC='0x0' CC='0xE_9D28_FE0B'),3.0,PEAK (48=2116 / 51=2058)  VALEY (50),0,
12,13,248,No link,28.377 Gbps,5.315244e+12,0,1.0,8.34884433215713,LINK ('No link' R=28.383 Gbps LS='Not locked' EC='0x0' CC='0xF_AD42_5445'),3.0,PEAK (48=2116 / 51=2058)  VALEY (50),0,
13,14,262,No link,28.377 Gbps,5.688687e+12,0,1.0,8.34884433215713,LINK ('No link' R=28.377 Gbps LS='Not locked' EC='0x0' CC='0x10_C35F_72DF'),3.0,PEAK (48=2116 / 51=2058)  VALEY (50),0,
14,15,274,No link,28.383 Gbps,6.060229e+12,0,1.0,8.34884433215713,LINK ('No link' R=28.383 Gbps LS='Not locked' EC='0x0' CC='0x11_D46F_90AB'),3.0,PEAK (48=2116 / 51=2058)  VALEY (50),0,
15,16,287,No link,28.377 Gbps,6.419827e+12,0,1.0,8.34884433215713,LINK ('No link' R=28.383 Gbps LS='Not locked' EC='0x0' CC='0x12_E349_70A6'),3.0,PEAK (48=2116 / 51=2058)  VALEY (50),0,
16,17,300,No link,28.377 Gbps,6.801472e+12,0,1.0,8.34884433215713,LINK ('No link' R=28.377 Gbps LS='Not locked' EC='0x0' CC='0x13_FE54_AF29'),3.0,PEAK (48=2116 / 51=2058)  VALEY (50),0,
17,18,314,No link,28.377 Gbps,7.175234e+12,0,1.0,8.34884433215713,LINK ('No link' R=28.383 Gbps LS='Not locked' EC='0x0' CC='0x15_18E2_4DF2'),3.0,PEAK (48=2116 / 51=2058)  VALEY (50),0,
18,19,327,No link,28.383 Gbps,7.557663e+12,0,1.0,8.34884433215713,LINK ('No link' R=28.383 Gbps LS='Not locked' EC='0x0' CC='0x16_31E8_F619'),3.0,PEAK (48=2116 / 51=2058)  VALEY (50),0,
