,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,61,51.551 Gbps,51.551 Gbps,4.969798e+11,47909081,8.30153e-05,16.614229872256303,LINK ('51.551 Gbps' R=51.551 Gbps LS='Locked' EC='0x487_5CA9' CC='0x1_5500_3807'),0.0,,0.0,
1,2,78,51.551 Gbps,51.551 Gbps,1.464752e+12,127032713,8.302697e-05,16.614229872256303,LINK ('51.551 Gbps' R=51.551 Gbps LS='Locked' EC='0x8F0_F525' CC='0x2_A10E_44A1'),8.333333333333334,PEAK (37=810 / 45=442 / 54=397 / 62=810)  VALEY (41=3 / 49=4 / 57=5),0.0006353361944801332,PER: (P1:(37.5 / 1.1 rng=[0.0 - 0.0]) P2:(45.8 / 1.1 rng=[0.0 - 0.0]) P3:(54.1 / 1.1 rng=[0.0 - 0.0]) P4:(62.3 / 1.1 rng=[0.0 - 0.0]) ERR:E12=9.6e-05 E21=8.5e-05 E23=7.1e-05 E32=1.0e-04 E34=1.3e-04 E43=1.5e-04)
2,3,96,51.551 Gbps,51.551 Gbps,2.416718e+12,209247049,8.31884e-05,16.614229872256303,LINK ('51.551 Gbps' R=51.551 Gbps LS='Locked' EC='0xDAD_3A4C' CC='0x4_0340_6AEC'),8.333333333333334,PEAK (37=810 / 45=442 / 54=397 / 62=810)  VALEY (41=3 / 49=4 / 57=5),0.0006353361944801332,PER: (P1:(37.5 / 1.1 rng=[0.0 - 0.0]) P2:(45.8 / 1.1 rng=[0.0 - 0.0]) P3:(54.1 / 1.1 rng=[0.0 - 0.0]) P4:(62.3 / 1.1 rng=[0.0 - 0.0]) ERR:E12=9.6e-05 E21=8.5e-05 E23=7.1e-05 E32=1.0e-04 E34=1.3e-04 E43=1.5e-04)
3,4,115,51.551 Gbps,51.551 Gbps,3.363842e+12,286515631,8.329587e-05,16.614229872256303,LINK ('51.551 Gbps' R=51.551 Gbps LS='Locked' EC='0x122C_733F' CC='0x5_5364_F22D'),8.333333333333334,PEAK (37=810 / 45=442 / 54=397 / 62=810)  VALEY (41=3 / 49=4 / 57=5),0.0006353361944801332,PER: (P1:(37.5 / 1.1 rng=[0.0 - 0.0]) P2:(45.8 / 1.1 rng=[0.0 - 0.0]) P3:(54.1 / 1.1 rng=[0.0 - 0.0]) P4:(62.3 / 1.1 rng=[0.0 - 0.0]) ERR:E12=9.6e-05 E21=8.5e-05 E23=7.1e-05 E32=1.0e-04 E34=1.3e-04 E43=1.5e-04)
4,5,133,51.551 Gbps,51.551 Gbps,4.264307e+12,361217174,8.3334e-05,16.614229872256303,LINK ('51.551 Gbps' R=51.551 Gbps LS='Locked' EC='0x167B_0203' CC='0x6_95F4_B5D1'),8.333333333333334,PEAK (37=810 / 45=442 / 54=397 / 62=810)  VALEY (41=3 / 49=4 / 57=5),0.0006353361944801332,PER: (P1:(37.5 / 1.1 rng=[0.0 - 0.0]) P2:(45.8 / 1.1 rng=[0.0 - 0.0]) P3:(54.1 / 1.1 rng=[0.0 - 0.0]) P4:(62.3 / 1.1 rng=[0.0 - 0.0]) ERR:E12=9.6e-05 E21=8.5e-05 E23=7.1e-05 E32=1.0e-04 E34=1.3e-04 E43=1.5e-04)
5,6,150,51.551 Gbps,51.551 Gbps,5.080275e+12,427690166,8.341236e-05,16.614229872256303,LINK ('51.551 Gbps' R=51.551 Gbps LS='Locked' EC='0x1A41_B5AD' CC='0x7_AF09_F644'),8.333333333333334,PEAK (37=810 / 45=442 / 54=397 / 62=810)  VALEY (41=3 / 49=4 / 57=5),0.0006353361944801332,PER: (P1:(37.5 / 1.1 rng=[0.0 - 0.0]) P2:(45.8 / 1.1 rng=[0.0 - 0.0]) P3:(54.1 / 1.1 rng=[0.0 - 0.0]) P4:(62.3 / 1.1 rng=[0.0 - 0.0]) ERR:E12=9.6e-05 E21=8.5e-05 E23=7.1e-05 E32=1.0e-04 E34=1.3e-04 E43=1.5e-04)
6,7,163,51.551 Gbps,51.551 Gbps,5.727164e+12,481922828,8.344579e-05,16.614229872256303,LINK ('51.551 Gbps' R=51.551 Gbps LS='Locked' EC='0x1D9B_A7B2' CC='0x8_A9AE_565B'),8.333333333333334,PEAK (37=810 / 45=442 / 54=397 / 62=810)  VALEY (41=3 / 49=4 / 57=5),0.0006353361944801332,PER: (P1:(37.5 / 1.1 rng=[0.0 - 0.0]) P2:(45.8 / 1.1 rng=[0.0 - 0.0]) P3:(54.1 / 1.1 rng=[0.0 - 0.0]) P4:(62.3 / 1.1 rng=[0.0 - 0.0]) ERR:E12=9.6e-05 E21=8.5e-05 E23=7.1e-05 E32=1.0e-04 E34=1.3e-04 E43=1.5e-04)
7,8,176,51.551 Gbps,51.551 Gbps,6.387810e+12,536912391,8.342176e-05,16.614229872256303,LINK ('51.551 Gbps' R=51.551 Gbps LS='Locked' EC='0x20EE_6BCD' CC='0x9_A350_216E'),8.333333333333334,PEAK (37=810 / 45=442 / 54=397 / 62=810)  VALEY (41=3 / 49=4 / 57=5),0.0006353361944801332,PER: (P1:(37.5 / 1.1 rng=[0.0 - 0.0]) P2:(45.8 / 1.1 rng=[0.0 - 0.0]) P3:(54.1 / 1.1 rng=[0.0 - 0.0]) P4:(62.3 / 1.1 rng=[0.0 - 0.0]) ERR:E12=9.6e-05 E21=8.5e-05 E23=7.1e-05 E32=1.0e-04 E34=1.3e-04 E43=1.5e-04)
8,9,189,51.551 Gbps,51.563 Gbps,7.047032e+12,593793138,8.349388e-05,16.614229872256303,LINK ('51.551 Gbps' R=51.551 Gbps LS='Locked' EC='0x2456_82FA' CC='0xA_A0B5_0ADD'),8.333333333333334,PEAK (37=810 / 45=442 / 54=397 / 62=810)  VALEY (41=3 / 49=4 / 57=5),0.0006353361944801332,PER: (P1:(37.5 / 1.1 rng=[0.0 - 0.0]) P2:(45.8 / 1.1 rng=[0.0 - 0.0]) P3:(54.1 / 1.1 rng=[0.0 - 0.0]) P4:(62.3 / 1.1 rng=[0.0 - 0.0]) ERR:E12=9.6e-05 E21=8.5e-05 E23=7.1e-05 E32=1.0e-04 E34=1.3e-04 E43=1.5e-04)
9,10,202,51.551 Gbps,51.551 Gbps,7.744571e+12,652171607,8.34888e-05,16.614229872256303,LINK ('51.551 Gbps' R=51.563 Gbps LS='Locked' EC='0x27CF_B848' CC='0xB_A436_D13C'),8.333333333333334,PEAK (37=810 / 45=442 / 54=397 / 62=810)  VALEY (41=3 / 49=4 / 57=5),0.0006353361944801332,PER: (P1:(37.5 / 1.1 rng=[0.0 - 0.0]) P2:(45.8 / 1.1 rng=[0.0 - 0.0]) P3:(54.1 / 1.1 rng=[0.0 - 0.0]) P4:(62.3 / 1.1 rng=[0.0 - 0.0]) ERR:E12=9.6e-05 E21=8.5e-05 E23=7.1e-05 E32=1.0e-04 E34=1.3e-04 E43=1.5e-04)
