,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,57,25.77 Gbps,25.77 Gbps,2.298261e+11,0,3.233309e-12,0.0,  ,0.0,,0,
1,2,67,25.77 Gbps,25.77 Gbps,5.382089e+11,0,1.659673e-12,0.0,BER (3.23e-12 / nan) rng=[3.2e-12 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
2,3,79,25.77 Gbps,25.77 Gbps,8.381581e+11,0,1.097422e-12,0.0,BER (2.45e-12 / 1.1e-12) rng=[1.7e-12 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
3,4,90,25.77 Gbps,25.77 Gbps,1.145612e+12,0,8.254148e-13,0.0,BER (2.00e-12 / 1.1e-12) rng=[1.1e-12 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
4,5,102,25.77 Gbps,25.77 Gbps,1.442956e+12,0,6.640382e-13,0.0,BER (1.70e-12 / 1.1e-12) rng=[8.3e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
5,6,113,25.77 Gbps,25.77 Gbps,1.748888e+12,0,5.465726e-13,0.0,BER (1.50e-12 / 1.0e-12) rng=[6.6e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
6,7,125,25.77 Gbps,25.77 Gbps,2.058506e+12,0,4.670725e-13,0.0,BER (1.34e-12 / 1.0e-12) rng=[5.5e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
7,8,137,25.77 Gbps,25.77 Gbps,2.374145e+12,0,4.080269e-13,0.0,BER (1.21e-12 / 9.8e-13) rng=[4.7e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
8,9,149,25.77 Gbps,25.77 Gbps,2.626663e+12,0,3.716041e-13,0.0,BER (1.11e-12 / 9.5e-13) rng=[4.1e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
9,10,158,25.77 Gbps,25.77 Gbps,2.848440e+12,0,3.440161e-13,0.0,BER (1.03e-12 / 9.2e-13) rng=[3.7e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
10,11,166,25.77 Gbps,25.77 Gbps,3.070397e+12,0,3.202331e-13,0.0,BER (9.62e-13 / 9.0e-13) rng=[3.4e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
11,12,175,25.77 Gbps,25.77 Gbps,3.287678e+12,0,2.990422e-13,0.0,BER (9.03e-13 / 8.7e-13) rng=[3.2e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
12,13,183,25.77 Gbps,25.77 Gbps,3.501895e+12,0,2.802495e-13,0.0,BER (8.53e-13 / 8.5e-13) rng=[3.0e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
13,14,192,25.77 Gbps,25.77 Gbps,3.736020e+12,0,2.636905e-13,0.0,BER (8.09e-13 / 8.3e-13) rng=[2.8e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
14,15,201,25.77 Gbps,25.77 Gbps,3.963204e+12,0,2.484117e-13,0.0,BER (7.70e-13 / 8.1e-13) rng=[2.6e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
15,16,210,25.77 Gbps,25.77 Gbps,4.181683e+12,0,2.35514e-13,0.0,BER (7.35e-13 / 7.9e-13) rng=[2.5e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
16,17,219,25.77 Gbps,25.77 Gbps,4.416747e+12,0,2.238712e-13,0.0,BER (7.04e-13 / 7.7e-13) rng=[2.4e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
17,18,227,25.77 Gbps,25.77 Gbps,4.623887e+12,0,2.132965e-13,0.0,BER (6.76e-13 / 7.6e-13) rng=[2.2e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
18,19,236,25.77 Gbps,25.77 Gbps,4.840014e+12,0,2.038994e-13,0.0,BER (6.50e-13 / 7.4e-13) rng=[2.1e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
19,20,244,25.77 Gbps,25.77 Gbps,5.066910e+12,0,1.949593e-13,0.0,BER (6.27e-13 / 7.3e-13) rng=[2.0e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
20,21,252,25.77 Gbps,25.77 Gbps,5.281090e+12,0,1.870744e-13,0.0,BER (6.05e-13 / 7.2e-13) rng=[1.9e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
21,22,261,25.77 Gbps,25.77 Gbps,5.522964e+12,0,1.793756e-13,0.0,BER (5.85e-13 / 7.1e-13) rng=[1.9e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
22,23,270,25.77 Gbps,25.77 Gbps,5.753168e+12,0,1.719518e-13,0.0,BER (5.67e-13 / 6.9e-13) rng=[1.8e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
23,24,279,25.77 Gbps,25.77 Gbps,5.979796e+12,0,1.654021e-13,0.0,BER (5.50e-13 / 6.8e-13) rng=[1.7e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
24,25,288,25.77 Gbps,25.77 Gbps,6.217874e+12,0,1.593894e-13,0.0,BER (5.34e-13 / 6.7e-13) rng=[1.7e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
25,26,297,25.77 Gbps,25.77 Gbps,6.443827e+12,0,1.536563e-13,0.0,BER (5.19e-13 / 6.6e-13) rng=[1.6e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
26,27,306,25.77 Gbps,25.77 Gbps,6.672521e+12,0,1.486107e-13,0.0,BER (5.05e-13 / 6.5e-13) rng=[1.5e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
27,28,315,25.77 Gbps,25.77 Gbps,6.894495e+12,0,1.439661e-13,0.0,BER (4.91e-13 / 6.4e-13) rng=[1.5e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
28,29,323,25.77 Gbps,25.77 Gbps,7.106616e+12,0,1.393838e-13,0.0,BER (4.79e-13 / 6.4e-13) rng=[1.4e-13 - 3.2e-12])  ,63.0,PEAK (18=1149 / 81=1099)  VALEY (30),0,
29,30,333,25.77 Gbps,25.77 Gbps,7.412365e+12,0,1.332293e-13,0.0,BER (4.67e-13 / 6.3e-13) rng=[1.4e-13 - 3.2e-12])  ,63.0,PEAK (18=2196 / 81=2229)  VALEY (30),0,
30,31,345,25.77 Gbps,25.77 Gbps,7.714013e+12,0,1.283459e-13,0.0,BER (4.56e-13 / 6.2e-13) rng=[1.3e-13 - 3.2e-12])  ,63.0,PEAK (18=2196 / 81=2229)  VALEY (30),0,
