,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR,Link Status,EYE-Opening,Histogram,PER,PER Statistics
0,1,67,No link,53.121 Gbps,3.661403e+11,0,1.0,0.0,LINK ('No link' R=53.109 Gbps LS='Not locked' EC='0x0' CC='0xBECA_B0B1'),0.0,,0,
1,2,84,No link,53.109 Gbps,1.357017e+12,0,1.0,0.0,LINK ('No link' R=53.109 Gbps LS='Not locked' EC='0x0' CC='0x2_3846_FED6'),0.0,,0,
2,3,103,No link,53.109 Gbps,2.301587e+12,0,1.0,0.0,LINK ('No link' R=53.121 Gbps LS='Not locked' EC='0x0' CC='0x3_B217_E740'),0.0,,0,
3,4,122,No link,53.109 Gbps,3.320272e+12,0,1.0,0.0,LINK ('No link' R=53.121 Gbps LS='Not locked' EC='0x0' CC='0x5_1111_5C1C'),0.0,,0,
4,5,140,No link,53.121 Gbps,4.253745e+12,0,1.0,11.603815037633836,LINK ('No link' R=53.109 Gbps LS='Not locked' EC='0x0' CC='0x6_6CEA_EBCE'),0.0,,0,
5,6,157,No link,53.109 Gbps,5.097523e+12,0,1.0,11.603815037633836,LINK ('No link' R=53.109 Gbps LS='Not locked' EC='0x0' CC='0x7_9C7C_0E59'),1.6666666666666667,PEAK (47=2030 / 48=2030 / 51=2030 / 52=2030)  VALEY (47=825 / 49=1060 / 51=1889),0,
6,7,171,No link,53.109 Gbps,5.813645e+12,0,1.0,11.603815037633836,LINK ('No link' R=53.121 Gbps LS='Not locked' EC='0x0' CC='0x8_AB81_72E6'),1.6666666666666667,PEAK (47=2030 / 48=2030 / 51=2030 / 52=2030)  VALEY (47=825 / 49=1060 / 51=1889),0,
7,8,184,No link,53.121 Gbps,6.522270e+12,0,1.0,11.603815037633836,LINK ('No link' R=53.109 Gbps LS='Not locked' EC='0x0' CC='0x9_AF7F_DFDB'),1.6666666666666667,PEAK (47=2030 / 48=2030 / 51=2030 / 52=2030)  VALEY (47=825 / 49=1060 / 51=1889),0,
8,9,198,No link,53.109 Gbps,7.265687e+12,0,1.0,11.603815037633836,LINK ('No link' R=53.109 Gbps LS='Not locked' EC='0x0' CC='0xA_C422_0C74'),1.6666666666666667,PEAK (47=2030 / 48=2030 / 51=2030 / 52=2030)  VALEY (47=825 / 49=1060 / 51=1889),0,
9,10,211,No link,53.121 Gbps,7.968332e+12,0,1.0,11.603815037633836,LINK ('No link' R=53.109 Gbps LS='Not locked' EC='0x0' CC='0xB_C9DC_4E5D'),1.6666666666666667,PEAK (47=2030 / 48=2030 / 51=2030 / 52=2030)  VALEY (47=825 / 49=1060 / 51=1889),0,
10,11,224,No link,53.121 Gbps,8.681156e+12,0,1.0,11.603815037633836,LINK ('No link' R=53.121 Gbps LS='Not locked' EC='0x0' CC='0xC_D448_4D3A'),1.6666666666666667,PEAK (47=2030 / 48=2030 / 51=2030 / 52=2030)  VALEY (47=825 / 49=1060 / 51=1889),0,
11,12,238,No link,53.109 Gbps,9.380789e+12,0,1.0,11.603815037633836,LINK ('No link' R=53.109 Gbps LS='Not locked' EC='0x0' CC='0xD_D846_81BB'),1.6666666666666667,PEAK (47=2030 / 48=2030 / 51=2030 / 52=2030)  VALEY (47=825 / 49=1060 / 51=1889),0,
12,13,251,No link,53.109 Gbps,1.009898e+13,0,1.0,11.603815037633836,LINK ('No link' R=53.109 Gbps LS='Not locked' EC='0x0' CC='0xE_E215_AE86'),1.6666666666666667,PEAK (47=2030 / 48=2030 / 51=2030 / 52=2030)  VALEY (47=825 / 49=1060 / 51=1889),0,
13,14,265,No link,53.109 Gbps,1.081347e+13,0,1.0,11.603815037633836,LINK ('No link' R=53.121 Gbps LS='Not locked' EC='0x0' CC='0xF_F22A_2972'),1.6666666666666667,PEAK (47=2030 / 48=2030 / 51=2030 / 52=2030)  VALEY (47=825 / 49=1060 / 51=1889),0,
14,15,278,No link,53.109 Gbps,1.154467e+13,0,1.0,11.603815037633836,LINK ('No link' R=53.109 Gbps LS='Not locked' EC='0x0' CC='0x10_FE67_5878'),1.6666666666666667,PEAK (47=2030 / 48=2030 / 51=2030 / 52=2030)  VALEY (47=825 / 49=1060 / 51=1889),0,
15,16,292,No link,53.109 Gbps,1.226246e+13,0,1.0,11.603815037633836,LINK ('No link' R=53.109 Gbps LS='Not locked' EC='0x0' CC='0x12_09B7_C351'),1.6666666666666667,PEAK (47=2030 / 48=2030 / 51=2030 / 52=2030)  VALEY (47=825 / 49=1060 / 51=1889),0,
16,17,305,No link,53.121 Gbps,1.296627e+13,0,1.0,11.603815037633836,LINK ('No link' R=53.109 Gbps LS='Not locked' EC='0x0' CC='0x13_0DFD_2EBB'),1.6666666666666667,PEAK (47=2030 / 48=2030 / 51=2030 / 52=2030)  VALEY (47=825 / 49=1060 / 51=1889),0,
17,18,319,No link,53.109 Gbps,1.370469e+13,0,1.0,11.603815037633836,LINK ('No link' R=53.109 Gbps LS='Not locked' EC='0x0' CC='0x14_216B_5D2E'),1.6666666666666667,PEAK (47=2030 / 48=2030 / 51=2030 / 52=2030)  VALEY (47=825 / 49=1060 / 51=1889),0,
